Player,Season,DIS,DBPM,DWS,D-LEBRON
Anthony Davis,2017-18,20.98420694,1.4,4.9,1.24
Rudy Gobert,2017-18,19.43146842,2.5,3.9,3.58
Draymond Green,2017-18,18.41121083,1.9,3.4,1.98
Ben Simmons,2017-18,17.63746845,2.5,5.0,1.35
Robert Covington,2017-18,16.34396154,1.7,4.5,2.59
Joel Embiid,2017-18,16.09686739,1.3,3.8,1.35
Giannis Antetokounmpo,2017-18,15.99467096,0.9,3.6,1.22
Al Horford,2017-18,15.61898041,2.0,3.8,0.87
Thaddeus Young,2017-18,15.26185937,0.4,3.2,1.28
Aron Baynes,2017-18,14.92824771,0.7,2.5,1.81
LaMarcus Aldridge,2017-18,14.39706739,-0.4,3.6,0.55
Jusuf Nurkic,2017-18,14.33495693,1.1,3.9,2.27
Karl-Anthony Towns,2017-18,14.15837671,0.2,3.4,0.74
Andre Drummond,2017-18,14.1548004,1.7,5.7,2.51
Victor Oladipo,2017-18,14.13827192,1.7,4.0,1.6
Marc Gasol,2017-18,14.07203024,0.6,2.6,1.14
Myles Turner,2017-18,13.91188039,0.4,2.5,1.69
DeMarcus Cousins,2017-18,13.83252914,2.2,3.2,1.67
Derrick Favors,2017-18,13.80558374,0.7,3.5,1.64
Clint Capela,2017-18,13.77256182,1.0,4.1,1.91
Ekpe Udoh,2017-18,13.59065633,4.4,1.8,2.7
Salah Mejri,2017-18,13.55040225,2.8,1.3,2.74
Dwight Powell,2017-18,13.20615135,1.0,2.1,1.54
Al-Farouq Aminu,2017-18,12.89182924,1.1,3.2,1.04
Kristaps Porzingis,2017-18,12.22014142,,,0.88
Josh Richardson,2017-18,12.21731598,1.3,3.5,1.08
Kyle Lowry,2017-18,12.08675213,0.5,3.1,0.6
Amir Johnson,2017-18,12.07125717,2.2,2.0,1.44
Andre Roberson,2017-18,11.77713525,1.8,1.3,2.93
Kyle Anderson,2017-18,11.67421549,3.3,3.8,2.26
Willie Cauley-Stein,2017-18,11.66826797,0.3,2.2,1.38
Marcin Gortat,2017-18,11.36393471,0.3,2.4,1.51
Dwight Howard,2017-18,10.88484935,0.1,3.9,1.58
Jakob Poeltl,2017-18,10.80272529,1.1,2.4,1.54
Anthony Tolliver,2017-18,10.6955297,-0.3,1.5,0.58
DeAndre Jordan,2017-18,10.45858934,-0.3,3.4,0.52
Alex Len,2017-18,10.36671526,-0.3,1.3,0.68
Nerlens Noel,2017-18,10.33672837,2.7,1.0,2.78
Bam Adebayo,2017-18,10.109119,0.7,1.9,0.91
Jaylen Brown,2017-18,10.08689962,0.3,3.2,0.99
Mason Plumlee,2017-18,10.04741802,1.4,1.8,1.22
Marquese Chriss,2017-18,9.977480093,0.4,1.5,1.23
Eric Moreland,2017-18,9.914731043,3.3,1.6,3.1
Larry Nance Jr.,2017-18,9.905686058,0.7,0.7,2.0
Jayson Tatum,2017-18,9.823194859,1.2,4.0,1.57
Steven Adams,2017-18,9.72490675,-0.6,3.0,-0.24
JaKarr Sampson,2017-18,9.702562955,1.1,0.4,1.72
Jrue Holiday,2017-18,9.695019014,0.3,2.9,0.36
John Collins,2017-18,9.593137917,0.2,2.0,1.03
Ricky Rubio,2017-18,9.588956531,1.5,3.8,1.77
Kosta Koufos,2017-18,9.566534466,-0.2,1.5,0.8
Daniel Theis,2017-18,9.403209384,2.3,1.9,1.31
Lonzo Ball,2017-18,9.336718106,1.6,2.5,1.41
Pau Gasol,2017-18,9.252441436,1.9,3.3,1.23
Kyle O'Quinn,2017-18,9.151103022,2.6,2.1,1.47
Wesley Johnson,2017-18,9.148550047,1.7,1.7,1.51
Dejounte Murray,2017-18,9.146877554,2.2,3.4,2.0
Ersan Ilyasova,2017-18,9.030350002,,,0.53
Hassan Whiteside,2017-18,8.991525298,1.1,3.0,2.06
Dewayne Dedmon,2017-18,8.926959457,0.5,1.9,0.98
David West,2017-18,8.743306595,2.5,1.7,1.15
Kevon Looney,2017-18,8.681394619,1.0,1.3,0.94
Pascal Siakam,2017-18,8.648134854,1.6,2.5,1.29
Danny Green,2017-18,8.517014055,1.4,2.9,1.25
Justise Winslow,2017-18,8.334320992,1.1,2.4,1.38
Brook Lopez,2017-18,8.205569533,0.2,1.9,0.33
Jonas Valanciunas,2017-18,8.117064872,,,0.26
Dirk Nowitzki,2017-18,8.100942755,0.6,2.2,1.37
Blake Griffin,2017-18,7.824056689,0.1,0.8,-0.89
Paul Millsap,2017-18,7.558660051,0.0,1.1,0.69
Nikola Vucevic,2017-18,7.480479583,1.0,2.3,1.23
Marcus Smart,2017-18,7.403768836,1.0,2.5,0.81
Jerami Grant,2017-18,7.313482627,0.3,1.9,-0.03
Tyson Chandler,2017-18,7.245738544,-0.6,0.8,0.9
Lucas Nogueira,2017-18,7.233284547,5.0,1.0,2.92
Donovan Mitchell,2017-18,7.177181869,0.3,3.8,0.39
Luc Mbah a Moute,2017-18,7.148412243,1.4,2.1,0.43
Nikola Jokic,2017-18,7.145231626,1.6,2.9,1.3
Jimmy Butler III,2017-18,7.049797383,0.7,1.8,0.69
Ed Davis,2017-18,7.004650889,0.6,2.5,1.09
Kelly Olynyk,2017-18,6.807125719,1.2,2.7,1.46
Stanley Johnson,2017-18,6.794313536,1.1,2.4,0.94
Jarrett Allen,2017-18,6.603794312,0.1,1.5,0.01
Otto Porter Jr.,2017-18,6.51859275,1.0,3.1,1.09
Quincy Acy,2017-18,6.510250662,0.1,1.1,0.05
Montrezl Harrell,2017-18,6.499172272,0.2,1.3,-0.54
Justin Holiday,2017-18,6.354641536,-0.3,1.6,0.53
Taj Gibson,2017-18,6.341381653,-0.7,1.7,0.0
Joe Ingles,2017-18,6.318123294,1.3,3.6,0.77
Royce O'Neale,2017-18,6.199385247,1.8,1.8,0.9
P.J. Tucker,2017-18,6.191622256,0.8,3.0,0.82
John Henson,2017-18,6.162670502,0.1,2.2,0.9
Delon Wright,2017-18,6.134367157,1.8,2.1,0.09
James Johnson,2017-18,6.05609474,1.6,2.8,-0.22
Andre Iguodala,2017-18,6.029863584,0.8,1.6,0.46
Nene,2017-18,5.968696953,0.6,1.1,1.25
Harrison Barnes,2017-18,5.742110151,-1.3,1.9,-0.71
Dragan Bender,2017-18,5.705016465,-0.8,0.8,-0.31
Aaron Gordon,2017-18,5.697390522,-0.6,2.0,0.33
Lance Thomas,2017-18,5.620207853,-0.5,0.6,0.05
Jordan Bell,2017-18,5.587346574,2.8,1.4,1.21
Miles Plumlee,2017-18,5.573060115,-0.1,0.7,1.13
Kemba Walker,2017-18,5.571877513,-0.7,2.0,-0.71
JaVale McGee,2017-18,5.451302446,1.2,1.1,1.67
Davis Bertans,2017-18,5.334740108,0.6,1.4,0.24
Julius Randle,2017-18,5.281910893,0.0,2.6,-1.06
LeBron James,2017-18,5.274197592,1.4,3.0,-0.43
DeMarre Carroll,2017-18,5.272785074,-0.4,1.8,0.18
T.J. McConnell,2017-18,5.243788346,1.9,2.5,-0.37
Sindarius Thornwell,2017-18,5.186345942,1.0,0.9,0.54
Paul George,2017-18,5.179800008,0.6,3.9,0.3
Brandon Ingram,2017-18,5.03628512,-0.3,1.8,-0.11
Russell Westbrook,2017-18,5.023395586,1.5,4.5,0.84
Markieff Morris,2017-18,5.006855778,0.1,2.1,0.22
Marvin Williams,2017-18,4.984825966,0.3,1.9,-0.02
Serge Ibaka,2017-18,4.835703812,0.0,3.0,0.54
Kevin Durant,2017-18,4.816261966,0.6,2.9,-0.34
Carmelo Anthony,2017-18,4.772083263,-1.3,2.5,0.01
CJ McCollum,2017-18,4.745684901,-0.5,2.9,-0.27
Jonathan Isaac,2017-18,4.687035403,2.4,0.8,1.81
Maxi Kleber,2017-18,4.550523743,0.5,1.2,0.98
Fred VanVleet,2017-18,4.499102761,1.0,2.0,-0.06
James Harden,2017-18,4.459343358,1.4,3.8,0.01
Gorgui Dieng,2017-18,4.45619512,-0.1,1.3,0.43
Domantas Sabonis,2017-18,4.426442293,-0.5,2.2,0.32
Taurean Prince,2017-18,4.424430816,-0.6,2.0,-0.18
Thabo Sefolosha,2017-18,4.418406005,2.5,1.6,1.28
Nikola Mirotic,2017-18,4.230141363,-0.3,1.2,-0.23
Khris Middleton,2017-18,4.203221351,-0.8,2.3,-0.2
Ivica Zubac,2017-18,4.178551275,-0.3,0.5,0.52
Gary Harris,2017-18,4.132133229,-0.2,1.5,0.02
Cody Zeller,2017-18,4.046407816,0.0,0.7,1.06
Brandan Wright,2017-18,4.020648777,0.3,0.0,1.61
Maurice Harkless,2017-18,4.017415758,1.7,1.7,0.82
Jarell Martin,2017-18,3.939799506,-0.7,1.2,-0.19
Rudy Gay,2017-18,3.886861573,0.6,2.1,0.17
Derrick Williams,2017-18,3.828324386,-7.0,0.0,-0.02
Michael Kidd-Gilchrist,2017-18,3.814768659,0.0,1.6,1.01
Chris Paul,2017-18,3.809660663,1.8,2.7,0.3
Udonis Haslem,2017-18,3.742803161,-1.8,0.1,-0.29
Boban Marjanovic,2017-18,3.741362021,-0.8,0.3,0.66
Richaun Holmes,2017-18,3.673876945,1.4,1.3,0.01
Allen Crabbe,2017-18,3.656705114,-0.7,1.4,-0.65
Shaquille Harrison,2017-18,3.539112088,1.7,0.4,1.09
Mario Chalmers,2017-18,3.511555072,0.5,1.3,0.5
Zaza Pachulia,2017-18,3.467639143,0.7,1.4,1.33
Ian Mahinmi,2017-18,3.456861002,0.2,1.4,0.88
Joakim Noah,2017-18,3.423669345,1.7,0.1,0.11
Manu Ginobili,2017-18,3.419578092,,,-0.92
Patrick Patterson,2017-18,3.410988052,1.0,1.4,0.34
OG Anunoby,2017-18,3.382195872,0.6,1.6,0.05
Corey Brewer,2017-18,3.33847758,2.3,0.7,0.07
Tobias Harris,2017-18,3.228339192,-0.2,1.0,-0.52
Wilson Chandler,2017-18,3.204729636,-1.1,1.2,-0.08
Scotty Hopson,2017-18,3.142032083,-4.7,0.0,0.14
Andrew Harrison,2017-18,3.096459119,-0.5,0.7,-0.24
Dario Saric,2017-18,3.057705469,-0.5,2.8,-0.44
Bismack Biyombo,2017-18,3.045736938,0.2,1.8,0.41
Robin Lopez,2017-18,2.969661434,-1.3,0.7,0.3
Greg Monroe,2017-18,2.965729198,2.4,1.1,0.29
Eric Bledsoe,2017-18,2.937686898,0.4,2.4,-0.6
Mike Muscala,2017-18,2.866194119,0.1,0.9,0.05
James Ennis III,2017-18,2.85975358,-0.2,0.5,-0.06
Trevor Booker,2017-18,2.73408728,-0.8,0.3,0.4
Damian Lillard,2017-18,2.674142215,0.3,2.7,-0.47
Michael Carter-Williams,2017-18,2.671045116,1.8,1.1,1.34
Tyler Zeller,2017-18,2.662341365,-1.8,0.3,0.74
Jeff Withey,2017-18,2.598354423,-0.6,0.1,0.17
Kyle Kuzma,2017-18,2.53155766,-1.0,2.3,-1.23
Kent Bazemore,2017-18,2.518255678,1.0,2.0,0.72
Nemanja Bjelica,2017-18,2.498575439,0.2,1.1,-0.26
Josh Huestis,2017-18,2.490494491,0.0,1.0,-0.07
Andrew Wiggins,2017-18,2.458111159,-1.7,1.6,-0.55
Spencer Dinwiddie,2017-18,2.443815042,-0.7,1.4,0.65
Tomas Satoransky,2017-18,2.369925438,0.5,1.3,-0.14
Trey Lyles,2017-18,2.367717272,-0.7,1.2,-0.23
Tarik Black,2017-18,2.342296472,1.2,1.0,0.4
Ish Smith,2017-18,2.315834815,0.3,2.0,-0.43
Zach Collins,2017-18,2.244586224,0.2,1.3,0.19
Evan Turner,2017-18,2.224489316,0.4,2.1,-0.17
Alex Caruso,2017-18,2.143822557,0.9,0.6,0.48
George Hill,2017-18,2.123109438,-0.5,0.3,-0.06
Skal Labissiere,2017-18,2.085009034,-0.8,1.0,0.22
Enes Freedom,2017-18,1.886195439,-1.1,2.1,0.03
Thon Maker,2017-18,1.831953502,-0.4,1.1,0.34
Trevor Ariza,2017-18,1.761183451,0.7,2.8,0.4
Willie Reed,2017-18,1.727958429,2.6,0.0,1.16
Gian Clavell,2017-18,1.725282778,0.5,0.0,0.22
Josh Magette,2017-18,1.716712509,-0.6,0.1,0.46
Khem Birch,2017-18,1.679537398,-0.2,0.6,0.91
Dwyane Wade,2017-18,1.67144457,0.0,0.7,-0.44
DeMar DeRozan,2017-18,1.636836201,-0.6,2.8,-0.73
Cameron Payne,2017-18,1.605507788,-0.3,0.4,0.25
Omri Casspi,2017-18,1.54256272,0.0,1.0,0.12
Timofey Mozgov,2017-18,1.534630778,-0.6,0.3,0.84
Travis Wear,2017-18,1.408043777,0.0,0.2,0.3
Noah Vonleh,2017-18,1.338065198,-1.2,0.4,1.05
Pat Connaughton,2017-18,1.299532506,-0.1,1.3,-0.83
Denzel Valentine,2017-18,1.217917881,0.0,1.5,-0.03
T.J. Warren,2017-18,1.182804006,-1.6,0.8,-1.48
Wesley Matthews,2017-18,1.179990406,0.1,1.6,-0.11
John Wall,2017-18,1.15907406,-0.5,1.5,-0.34
Josh Hart,2017-18,1.153729459,0.5,1.5,-0.47
Tim Hardaway Jr.,2017-18,1.152483105,-1.1,1.1,-0.92
JaMychal Green,2017-18,1.148476497,-1.5,1.3,-0.5
Cory Joseph,2017-18,1.055921036,0.3,2.0,-0.21
Corey Brewer,2017-18,1.049273823,2.3,0.7,0.07
Joel Bolomboy,2017-18,1.035803844,-2.4,0.0,-0.44
RJ Hunter,2017-18,0.964499466,,,-0.86
Jae Crowder,2017-18,0.920880362,0.2,1.0,-0.37
Klay Thompson,2017-18,0.903800752,-2.1,1.8,-1.08
Ryan Anderson,2017-18,0.887392637,-0.8,1.7,-0.81
Goran Dragic,2017-18,0.884889366,-0.6,2.3,-0.61
Damion Lee,2017-18,0.880345512,0.4,0.4,0.14
Garrett Temple,2017-18,0.850867686,-0.3,0.9,0.0
Willy Hernangomez,2017-18,0.842030734,0.1,0.4,0.81
Jeff Green,2017-18,0.792630373,-1.5,0.8,-0.75
Rondae Hollis-Jefferson,2017-18,0.754537571,0.4,2.0,0.46
Kris Dunn,2017-18,0.706637304,1.1,1.9,0.63
Antonius Cleveland,2017-18,0.505287302,-0.7,0.0,0.29
Tyler Johnson,2017-18,0.427550459,0.2,2.3,0.24
Vince Carter,2017-18,0.423351025,0.7,0.9,0.43
Avery Bradley,2017-18,0.409996546,-0.3,0.1,0.05
Terry Rozier,2017-18,0.403907651,1.2,3.4,-0.46
Treveon Graham,2017-18,0.389320307,0.1,0.7,0.19
Yogi Ferrell,2017-18,0.384544699,0.0,1.5,0.0
Kevin Love,2017-18,0.338555988,-1.3,1.6,0.03
Mario Hezonja,2017-18,0.3006422,0.4,1.8,-0.53
Jacob Wiley,2017-18,0.24228193,1.4,0.0,0.15
Dante Cunningham,2017-18,0.141605339,-0.4,0.4,-0.05
Damyean Dotson,2017-18,0.078024193,-0.6,0.3,-1.0
Kentavious Caldwell-Pope,2017-18,0.004553769,0.6,2.7,0.07
Jordan Mickey,2017-18,-0.031118041,-0.3,0.4,0.57
Kawhi Leonard,2017-18,-0.031789445,4.9,0.5,0.54
Marreese Speights,2017-18,-0.035829596,-1.4,0.5,-1.27
Luis Montero,2017-18,-0.087700682,-6.6,0.0,0.04
Tim Frazier,2017-18,-0.097331726,1.8,1.0,1.12
Frank Ntilikina,2017-18,-0.131148016,-0.5,1.0,-0.47
Alan Williams,2017-18,-0.137955103,2.3,0.1,0.43
Mike Conley,2017-18,-0.149714117,-0.8,0.2,-0.6
Semi Ojeleye,2017-18,-0.193188372,-0.1,1.3,-0.4
Tyreke Evans,2017-18,-0.295813527,-0.5,1.2,-1.1
Shabazz Napier,2017-18,-0.317342258,1.4,2.0,-0.43
Dwayne Bacon,2017-18,-0.327566977,0.1,0.6,0.16
Terrence Ross,2017-18,-0.36816689,0.1,0.5,-0.29
Vander Blue,2017-18,-0.386464609,-0.7,0.0,0.03
Channing Frye,2017-18,-0.414780283,-0.5,0.1,0.06
Reggie Bullock Jr.,2017-18,-0.451933398,,,-0.51
Jared Dudley,2017-18,-0.464040152,0.5,0.4,1.34
Jawun Evans,2017-18,-0.495263222,0.4,0.6,0.0
Mike Scott,2017-18,-0.508967958,-1.1,1.0,-1.25
Bogdan Bogdanovic,2017-18,-0.539601029,-0.9,1.1,-0.55
James Young,2017-18,-0.553605436,-2.4,0.0,-1.06
Wes Iwundu,2017-18,-0.555406169,-0.1,0.7,0.51
Doug McDermott,2017-18,-0.55605841,-1.0,0.3,-1.12
Jonas Jerebko,2017-18,-0.597306391,0.4,1.6,-0.17
Patrick Beverley,2017-18,-0.600286332,0.8,0.3,0.56
Dennis Smith Jr.,2017-18,-0.646426813,-1.2,1.7,-0.49
JJ Redick,2017-18,-0.684589494,-1.1,1.8,-0.77
Tyler Lydon,2017-18,-0.689544231,-1.6,0.0,-0.39
Brandon Paul,2017-18,-0.718419225,1.6,0.8,0.38
Luke Kornet,2017-18,-0.79286892,-0.2,0.3,0.19
Jeremy Lamb,2017-18,-0.831490543,0.2,1.9,-0.23
E'Twaun Moore,2017-18,-0.846308382,-0.5,1.6,-1.12
Larry Drew II,2017-18,-0.86126579,-2.3,0.0,-0.69
Jeff Teague,2017-18,-0.897296488,-0.7,1.4,-0.08
Jerian Grant,2017-18,-0.926234512,-0.5,1.0,-0.62
Buddy Hield,2017-18,-0.927759154,-0.5,1.5,-0.57
Tyus Jones,2017-18,-0.929585612,1.7,1.2,0.28
Elfrid Payton,2017-18,-0.930614581,-1.1,0.3,-0.33
Dillon Brooks,2017-18,-0.961570311,-1.1,1.1,-1.08
Bradley Beal,2017-18,-0.971634536,-0.7,2.5,-1.22
Darren Collison,2017-18,-0.981793513,0.3,1.8,0.31
Tyler Ennis,2017-18,-0.995250766,0.9,0.8,0.27
Andrew Bogut,2017-18,-1.044850378,1.9,0.3,0.99
Joe Johnson,2017-18,-1.07393389,0.0,0.4,-1.24
Vincent Hunter,2017-18,-1.120818247,,,-0.02
Tristan Thompson,2017-18,-1.127133989,-1.9,0.7,0.26
Sam Dekker,2017-18,-1.262216932,-0.6,0.6,-0.25
Danuel House Jr.,2017-18,-1.289702983,-0.8,0.1,0.27
Lauri Markkanen,2017-18,-1.321641151,-1.2,1.6,-0.24
Danilo Gallinari,2017-18,-1.335082061,-0.9,0.4,-0.15
Patty Mills,2017-18,-1.376156457,-0.4,2.1,-0.59
Eric Gordon,2017-18,-1.435899406,-1.6,1.8,-1.57
Okaro White,2017-18,-1.448985062,0.3,0.1,-0.32
Derrick Jones Jr.,2017-18,-1.542117112,-0.2,0.2,-0.16
Myke Henry,2017-18,-1.550421953,1.8,0.4,0.12
Malcolm Delaney,2017-18,-1.591406091,-0.4,0.6,-0.3
DeAndre' Bembry,2017-18,-1.608268841,0.3,0.5,1.0
Joe Harris,2017-18,-1.626257681,-0.6,0.9,-0.99
Ron Baker,2017-18,-1.656576589,2.4,0.4,0.56
Caleb Swanigan,2017-18,-1.748643901,1.2,0.3,0.13
Cheick Diallo,2017-18,-1.807772657,0.1,0.8,0.68
DeAndre Liggins,2017-18,-1.866656045,1.5,0.2,0.97
Justin Anderson,2017-18,-1.871650753,-0.3,0.7,-1.45
Devin Harris,2017-18,-1.899579917,-1.8,0.2,-0.67
Kelly Oubre Jr.,2017-18,-1.964058044,-0.1,2.3,-0.92
C.J. Williams,2017-18,-1.99764021,0.7,0.5,-0.3
Juancho Hernangomez,2017-18,-2.057491248,-1.7,0.1,-0.42
Cedi Osman,2017-18,-2.059230598,-0.7,0.4,0.2
Malcolm Brogdon,2017-18,-2.065555857,-1.0,0.7,-0.37
Damien Wilkins,2017-18,-2.091336171,-1.9,0.1,-0.99
Caris LeVert,2017-18,-2.128136781,0.0,1.6,-0.79
Jason Smith,2017-18,-2.169586406,-1.0,0.3,-0.33
Langston Galloway,2017-18,-2.202989895,0.2,0.9,0.02
Chinanu Onuaku,2017-18,-2.2081647,-1.7,0.0,-0.74
Frank Kaminsky,2017-18,-2.212621598,-0.8,1.3,-0.29
Torrey Craig,2017-18,-2.377951537,-0.7,0.4,-0.33
Kyle Collinsworth,2017-18,-2.379279339,0.9,0.5,0.55
James Webb III,2017-18,-2.486357702,-2.8,0.0,-0.15
Luke Babbitt,2017-18,-2.487088,-3.3,0.1,-0.31
Julyan Stone,2017-18,-2.502591041,1.9,0.2,0.52
Tyrone Wallace,2017-18,-2.551071168,-0.4,0.5,-1.16
Matt Williams Jr.,2017-18,-2.602899917,,,-0.13
Derrick White,2017-18,-2.644327609,1.5,0.2,-0.15
Lance Stephenson,2017-18,-2.702252031,-0.3,2.0,-0.69
Tony Snell,2017-18,-2.720497862,-0.8,0.7,-0.83
Austin Rivers,2017-18,-2.788507954,-0.9,1.0,-1.19
Nicolas Batum,2017-18,-2.79362476,-0.1,1.8,-0.13
Raymond Felton,2017-18,-2.798910841,-0.3,1.3,-1.21
Nicolas Brussino,2017-18,-2.81973391,-3.2,0.0,0.07
Marcus Paige,2017-18,-2.859026451,-3.2,0.0,0.09
Aaron Harrison,2017-18,-2.896574462,-0.6,0.2,-0.14
Dorian Finney-Smith,2017-18,-2.918172647,-0.8,0.3,-0.05
Zach LaVine,2017-18,-2.959683602,-1.5,0.5,-0.55
Troy Williams,2017-18,-3.008693795,0.7,0.3,-0.63
Omari Johnson,2017-18,-3.02409479,-2.7,0.0,-0.32
Isaiah Canaan,2017-18,-3.042327012,-0.7,0.1,-0.21
Jameer Nelson,2017-18,-3.055556046,-1.0,0.1,-1.22
Norman Powell,2017-18,-3.103824808,0.2,1.2,-0.77
Jarrett Jack,2017-18,-3.14733885,-1.3,0.7,-0.53
Bruno Caboclo,2017-18,-3.157769375,-1.5,0.1,0.11
CJ Miles,2017-18,-3.173608918,,,-1.12
Shane Larkin,2017-18,-3.177968597,1.1,1.1,-0.01
Georgios Papagiannis,2017-18,-3.230627501,19.7,0.0,0.23
Bobby Portis,2017-18,-3.255310507,-1.3,1.5,-0.98
Jamil Wilson,2017-18,-3.27135483,0.2,0.2,-0.03
Bojan Bogdanovic,2017-18,-3.289135554,-1.2,1.6,-0.6
Will Barton,2017-18,-3.306442379,-0.4,1.8,-0.82
Ryan Arcidiacono,2017-18,-3.363737372,0.6,0.2,0.5
Jamal Murray,2017-18,-3.376649542,-1.5,1.2,-0.4
Aaron Jackson,2017-18,-3.40641206,-2.3,0.0,-0.83
Mike James,2017-18,-3.46880732,-2.4,0.0,-0.24
Rodney McGruder,2017-18,-3.497554553,-0.3,0.3,0.03
Erik McCree,2017-18,-3.507100933,1.0,0.0,-0.48
Reggie Hearn,2017-18,-3.53628958,-1.4,0.0,-0.01
Wade Baldwin IV,2017-18,-3.53741077,,,-0.18
Courtney Lee,2017-18,-3.575393987,-0.2,1.2,-1.36
Deyonta Davis,2017-18,-3.584110832,-0.6,0.8,-0.82
Stephen Curry,2017-18,-3.595130016,0.0,1.8,-0.23
Jack Cooley,2017-18,-3.612522963,-1.4,0.0,-0.12
Tony Parker,2017-18,-3.630671219,-0.9,1.1,-0.61
Marquis Teague,2017-18,-3.677881562,-0.4,0.0,-0.28
Kyle Korver,2017-18,-3.751448733,-1.2,0.6,-0.79
Jerryd Bayless,2017-18,-3.756103446,-0.2,0.9,-0.86
Bryn Forbes,2017-18,-3.758475095,-0.6,1.3,-0.81
Nate Wolters,2017-18,-3.774391004,-3.4,0.0,-0.46
Paul Zipser,2017-18,-3.787920405,-0.5,0.6,0.22
Jeremy Evans,2017-18,-3.808407572,-4.2,0.0,-0.01
Jahlil Okafor,2017-18,-3.841955409,0.0,0.3,0.2
Jonathan Gibson,2017-18,-3.860784492,-0.8,0.0,-0.6
Demetrius Jackson,2017-18,-3.869131226,2.1,0.0,-0.59
Xavier Rathan-Mayes,2017-18,-3.930087664,-1.6,0.1,0.06
Reggie Jackson,2017-18,-3.932087411,-1.4,0.9,-0.34
Jason Terry,2017-18,-3.954744224,0.6,0.6,0.32
Damian Jones,2017-18,-3.960215276,-1.8,0.1,-0.84
Cristiano Felicio,2017-18,-3.991982738,-1.1,0.5,-0.59
Isaiah Taylor,2017-18,-3.99426,-1.3,0.5,-1.07
Ian Clark,2017-18,-3.996201578,-0.8,0.8,-1.64
Jarell Eddie,2017-18,-4.003430961,-8.8,0.0,-0.01
David Nwaba,2017-18,-4.016303194,0.2,1.4,-0.35
Al Jefferson,2017-18,-4.018533697,1.5,0.8,0.51
Raul Neto,2017-18,-4.037303228,0.2,0.6,-0.46
Isaiah Hicks,2017-18,-4.056172695,-1.2,0.1,-0.31
Emeka Okafor,2017-18,-4.099309966,-0.2,0.5,1.1
Justin Jackson,2017-18,-4.139793807,-1.1,0.5,-0.57
Rajon Rondo,2017-18,-4.157101615,-0.4,1.7,-0.83
Timothe Luwawu-Cabarrot,2017-18,-4.168132013,-1.1,0.7,-1.65
Shaun Livingston,2017-18,-4.173293473,-0.4,0.9,-0.81
Davon Reed,2017-18,-4.176539322,-0.6,0.2,0.18
Andre Ingram,2017-18,-4.190977238,2.5,0.1,0.05
Iman Shumpert,2017-18,-4.197482986,0.0,0.2,-0.16
Quincy Pondexter,2017-18,-4.201495957,-0.4,0.1,0.24
De'Aaron Fox,2017-18,-4.218451918,-1.5,1.0,-1.36
Marcus Morris Sr.,2017-18,-4.258048977,,,-1.38
PJ Dozier,2017-18,-4.285483192,-2.7,0.0,-0.46
Frank Mason III,2017-18,-4.324348221,-1.0,0.6,-0.08
Isaiah Whitehead,2017-18,-4.348181994,-0.4,0.2,-0.3
Jose Calderon,2017-18,-4.372639942,-0.5,0.3,-0.45
Glenn Robinson III,2017-18,-4.37634538,0.4,0.3,-0.4
Jake Layman,2017-18,-4.429553186,0.4,0.2,-0.33
Tony Allen,2017-18,-4.429778483,-0.3,0.2,-0.63
Zhou Qi,2017-18,-4.438405933,0.2,0.2,-0.33
Nick Collison,2017-18,-4.458280504,-1.9,0.0,-0.43
Kyle Singler,2017-18,-4.519517979,-1.6,0.0,-0.31
Matt Costello,2017-18,-4.535312406,5.3,0.1,-0.13
Thomas Bryant,2017-18,-4.544210273,-0.2,0.1,0.02
Gary Payton II,2017-18,-4.565978125,-0.1,0.1,-0.1
Ivan Rabb,2017-18,-4.569885827,-1.2,0.5,-0.2
Sterling Brown,2017-18,-4.585808566,-0.2,0.7,-0.71
Jabari Bird,2017-18,-4.610794941,-0.4,0.2,-0.33
Dion Waiters,2017-18,-4.655472943,-1.4,0.8,-1.03
Omer Asik,2017-18,-4.682119393,-1.5,0.0,0.12
Ben McLemore,2017-18,-4.755607146,-1.0,0.7,-1.26
Jonathon Simmons,2017-18,-4.756231413,-1.3,1.1,-1.61
Shelvin Mack,2017-18,-4.788242569,-0.2,1.0,-0.7
Tyler Ulis,2017-18,-4.808258406,-1.4,0.5,-0.68
Josh Jackson,2017-18,-4.833668277,-1.4,1.2,-1.45
Tyler Dorsey,2017-18,-4.965508341,-1.5,0.4,-1.18
Zach Randolph,2017-18,-5.010270536,-1.5,1.2,-0.74
Alfonzo McKinnie,2017-18,-5.014110103,-0.4,0.1,-1.19
Josh Gray,2017-18,-5.026896091,1.0,0.1,0.39
Ramon Sessions,2017-18,-5.05592764,-1.5,0.1,-0.57
Evan Fournier,2017-18,-5.064253513,-1.4,0.9,-1.43
MarShon Brooks,2017-18,-5.139236088,-0.4,0.2,-0.89
Malik Beasley,2017-18,-5.168568717,-1.4,0.3,-0.75
Daniel Hamilton,2017-18,-5.176378459,1.3,0.0,-0.52
London Perrantes,2017-18,-5.195730661,-0.9,0.0,-0.13
Malachi Richardson,2017-18,-5.217971187,-3.0,0.0,0.26
Joe Young,2017-18,-5.252906164,-1.2,0.4,-1.72
Nigel Hayes,2017-18,-5.292951333,,,0.15
Kenneth Faried,2017-18,-5.34250349,-1.7,0.4,-0.53
Luol Deng,2017-18,-5.344840215,2.4,0.0,-0.18
Jon Leuer,2017-18,-5.35708072,-0.3,0.1,0.41
