Player,Team,Pos,G,MP,DIS
Rudy Gobert,UTA,C,71,2187,34.59883031
Draymond Green,GSW,PF,63,1982,23.66123232
Jakob Poeltl,SAS,C,69,1845,19.54399682
Ben Simmons,PHI,PG,58,1877,18.44101373
Bam Adebayo,MIA,C,64,2143,18.2028209
Matisse Thybulle,PHI,SG,63,1298,17.38990481
Myles Turner,IND,C,47,1455,17.36494869
Clint Capela,ATL,C,63,1898,16.62514951
Isaiah Stewart,DET,C,68,1455,16.51006639
Brook Lopez,MIL,C,70,1902,16.24644508
Nerlens Noel,NYK,C,64,1547,15.90800017
Giannis Antetokounmpo,MIL,PF,61,2013,15.41926927
Robert Covington,POR,PF,70,2243,15.39528034
Ivica Zubac,LAC,C,71,1609,14.84749453
Jimmy Butler III,MIA,SF,52,1745,14.02395725
Jarred Vanderbilt,MIN,PF,64,1139,13.58431958
Jusuf Nurkic,POR,C,37,880,13.55993237
Alex Len,WAS,C,64,979,13.47402322
Marcus Smart,BOS,PG,48,1581,13.43288086
Kyle Anderson,MEM,PF,69,1887,13.01153993
Deandre Ayton,PHX,C,69,2115,13.01137132
Kent Bazemore,GSW,SF,67,1334,12.56748151
Alex Caruso,LAL,PG,58,1216,12.34579087
Richaun Holmes,SAC,C,61,1782,12.24134935
Joel Embiid,PHI,C,51,1585,12.15754626
Taj Gibson,NYK,C,44,936,12.05490388
Nikola Jokic,DEN,C,72,2488,11.94069442
Robert Williams III,BOS,C,52,985,11.72072016
Jae'Sean Tate,HOU,SF,70,2043,11.1850476
Domantas Sabonis,IND,PF,62,2232,11.1609791
Willie Cauley-Stein,DAL,C,53,906,11.15956742
Julius Randle,NYK,PF,71,2667,11.14098256
Dwight Powell,DAL,C,58,966,11.10562062
Wendell Carter Jr.,ORL,C,54,1375,10.88285683
Jonas Valanciunas,MEM,C,62,1755,10.85342486
Steven Adams,NOP,C,58,1605,10.79979151
Dorian Finney-Smith,DAL,PF,60,1915,10.69208179
Andrew Wiggins,GSW,PF,71,2364,10.64740813
Montrezl Harrell,LAL,C,68,1580,10.43575871
Isaiah Hartenstein,CLE,C,46,559,10.2768444
Patrick Beverley,LAC,PG,37,832,10.23683409
Danny Green,PHI,SF,69,1934,10.13154818
Khem Birch,TOR,C,67,1529,9.910296536
Marc Gasol,LAL,C,52,993,9.907364228
Jae Crowder,PHX,PF,60,1648,9.75290309
DeAndre Jordan,BKN,C,57,1246,9.659146802
Daniel Theis,CHI,C,65,1601,9.411222287
Serge Ibaka,LAC,C,41,955,9.35403531
Maxi Kleber,DAL,PF,50,1341,9.321387902
Paul George,LAC,SF,54,1821,9.280972925
Xavier Tillman,MEM,PF,59,1085,9.128130397
Jrue Holiday,MIL,PG,59,1907,9.020365281
Daniel Gafford,WAS,C,54,791,8.932738003
Nicolas Batum,LAC,SF,67,1835,8.875519647
OG Anunoby,TOR,SF,43,1433,8.683691192
Jarrett Allen,CLE,C,63,1864,8.668601478
Nic Claxton,BKN,C,32,594,8.441429193
Russell Westbrook,WAS,PG,65,2369,8.407386756
Justin Holiday,IND,SG,72,2183,8.230812811
LeBron James,LAL,PG,45,1504,8.223754142
Brandon Clarke,MEM,PF,59,1415,8.1753547
Fred VanVleet,TOR,SG,52,1899,7.882342281
Larry Nance Jr.,CLE,PF,35,1091,7.865713756
Kevin Huerter,ATL,SG,69,2126,7.804653605
DeMarcus Cousins,LAC,C,41,713,7.746041609
Aron Baynes,TOR,C,52,980,7.734270109
Donte DiVincenzo,MIL,SG,66,1814,7.73291559
Andre Iguodala,MIA,SF,63,1339,7.685240519
Paul Millsap,DEN,PF,55,1162,7.67058764
Blake Griffin,BKN,PF,46,1187,7.574350413
Kevon Looney,GSW,C,61,1161,7.555619619
Derrick Favors,UTA,C,68,1039,7.359748916
Josh Okogie,MIN,SG,58,1197,7.22353818
Chris Boucher,TOR,C,60,1453,7.099492529
Dwight Howard,PHI,C,69,1196,7.06688962
Kawhi Leonard,LAC,SF,52,1773,7.042391965
Karl-Anthony Towns,MIN,C,50,1689,6.994858222
Trevor Ariza,MIA,SF,30,841,6.816299906
Grant Williams,BOS,PF,63,1138,6.632075329
Rui Hachimura,WAS,PF,57,1797,6.620453105
Andre Drummond,LAL,C,46,1242,6.565891879
Anthony Davis,LAL,PF,36,1162,6.519622948
Naz Reid,MIN,C,70,1347,6.502956857
Michael Carter-Williams,ORL,SG,31,800,6.411354319
Delon Wright,SAC,PG,61,1748,6.374696432
Thaddeus Young,CHI,PF,68,1652,6.353346197
Royce O'Neale,UTA,SF,71,2241,6.282344643
Nikola Vucevic,CHI,C,70,2348,6.281895727
Dillon Brooks,MEM,SF,67,1997,6.276890843
Wesley Matthews,LAL,SG,58,1130,6.190163353
JaVale McGee,DEN,C,46,678,6.132898455
Juan Toscano-Anderson,GSW,SG,50,1107,6.130805726
Facundo Campazzo,DEN,PG,62,1425,6.112045011
Deni Avdija,WAS,SF,54,1257,6.077003999
Victor Oladipo,MIA,SG,33,1080,6.040039729
Mikal Bridges,PHX,SF,72,2348,6.014469667
P.J. Washington,CHA,PF,64,1954,6.007222905
Jamal Murray,DEN,PG,48,1704,5.986172883
Christian Wood,HOU,C,41,1326,5.944941527
Robin Lopez,WAS,C,71,1354,5.943912096
Kelly Olynyk,HOU,PF,70,1997,5.940463352
Tristan Thompson,BOS,C,54,1287,5.749502881
De'Andre Hunter,ATL,SF,23,678,5.744643626
Duncan Robinson,MIA,SF,72,2262,5.616643202
James Ennis III,ORL,SF,41,986,5.47997259
Stanley Johnson,TOR,PF,57,1006,5.413389031
RJ Barrett,NYK,SG,72,2511,5.384954648
Alec Burks,NYK,SG,49,1255,5.38435219
Kelly Oubre Jr.,GSW,SF,55,1687,5.354750565
Jaden McDaniels,MIN,PF,62,1511,5.318136641
Cody Zeller,CHA,C,48,1005,5.271438655
Drew Eubanks,SAS,C,52,755,5.253058541
De'Anthony Melton,MEM,PG,52,1045,5.22712968
Derrick White,SAS,SG,36,1064,5.200568786
Bismack Biyombo,CHA,C,65,1349,5.173855729
Luke Kornet,BOS,C,28,347,5.104207979
Miles Bridges,CHA,PF,66,1932,5.073586005
P.J. Tucker,MIL,PF,52,1356,5.04726951
Kristaps Porzingis,DAL,C,43,1327,4.999145752
Bruce Brown,BKN,PG,62,1451,4.969733516
Mitchell Robinson,NYK,C,31,853,4.902759724
Kenrich Williams,OKC,PF,66,1426,4.892836912
LaMarcus Aldridge,BKN,C,26,674,4.843927288
John Collins,ATL,PF,63,1848,4.708734103
Desmond Bane,MEM,SG,68,1519,4.706671064
Dejounte Murray,SAS,PG,67,2139,4.69083969
Tony Bradley,OKC,C,40,684,4.686409665
Dario Saric,PHX,C,50,871,4.630835661
PJ Dozier,DEN,SG,50,1088,4.621780693
Al Horford,BOS,C,28,782,4.589110217
Jayson Tatum,BOS,SF,64,2290,4.571764336
Rudy Gay,SAS,PF,62,1358,4.536958109
Mason Plumlee,DET,C,56,1499,4.535021301
Lonzo Ball,NOP,PG,55,1747,4.446795975
Kyle Lowry,TOR,PG,46,1601,4.429779859
Thomas Bryant,WAS,C,10,271,4.429016338
Cody Martin,CHA,SF,47,849,4.336717495
Pascal Siakam,TOR,PF,56,2006,4.330786267
Khris Middleton,MIL,SF,68,2269,4.321025094
Luguentz Dort,OKC,SG,51,1543,4.306566236
Jaylen Brown,BOS,SG,58,1999,4.156551991
Bobby Portis,MIL,C,66,1372,4.15345176
Kevin Durant,BKN,PF,35,1157,4.137224048
DeAndre' Bembry,TOR,SF,49,972,4.109533895
Daniel Oturu,LAC,C,22,161,4.098141525
Frank Mason III,ORL,PG,4,79,4.079537487
Raul Neto,WAS,PG,63,1403,4.002438296
T.J. McConnell,IND,PG,69,1796,3.922367209
Derrick Jones Jr.,POR,SF,58,1318,3.897751831
Joe Ingles,UTA,SF,67,1867,3.700091091
Ish Smith,WAS,PG,43,924,3.695558751
Jaxson Hayes,NOP,C,59,964,3.666383113
Talen Horton-Tucker,LAL,SG,62,1304,3.655016459
Ed Davis,MIN,C,22,299,3.616991146
Jerami Grant,DET,SF,54,1829,3.363211839
Garrett Temple,CHI,SG,56,1528,3.332810915
Tobias Harris,PHI,PF,62,2014,3.12668365
Mike Muscala,OKC,C,35,645,3.126060333
Darius Miller,OKC,SF,17,197,3.060658004
Darius Bazley,OKC,PF,55,1714,2.961408819
Mo Bamba,ORL,C,45,725,2.953490737
Zion Williamson,NOP,PF,61,2026,2.937886843
Al-Farouq Aminu,CHI,PF,23,434,2.910025638
Pat Connaughton,MIL,SG,69,1575,2.905152769
KZ Okpala,MIA,PF,31,447,2.899611799
James Johnson,NOP,PF,50,1048,2.876089252
Tacko Fall,BOS,C,17,136,2.683550289
Jordan McLaughlin,MIN,PG,51,938,2.661729578
Gordon Hayward,CHA,SF,44,1496,2.620443696
Isaac Bonga,WAS,SF,35,432,2.61185005
Paul Reed,PHI,PF,24,177,2.585421555
Chris Paul,PHX,PG,70,2199,2.487646456
Josh Richardson,DAL,SG,59,1795,2.361688724
