Player,Team,Pos,G,MP,DIS
Georges Niang,UTA,PF,71,1154,2.278441437
Hassan Whiteside,SAC,C,35,546,2.251981634
Damian Jones,SAC,C,36,546,2.206375721
Norman Powell,POR,SG,69,2205,2.187796889
Yuta Watanabe,TOR,SF,49,723,2.18471147
Harry Giles III,POR,C,36,348,2.152750714
James Wiseman,GSW,C,39,836,2.06827217
Solomon Hill,ATL,PF,71,1513,2.055594599
Goga Bitadze,IND,C,42,561,1.996036174
Luka Doncic,DAL,PG,66,2254,1.953759519
Malachi Flynn,TOR,PG,42,928,1.858442239
Mike Conley,UTA,PG,51,1498,1.796510094
Michael Porter Jr.,DEN,SF,61,1912,1.745435427
Derrick Rose,NYK,PG,50,1279,1.727546005
Frank Kaminsky,PHX,C,47,715,1.623729909
Danuel House Jr.,HOU,SF,36,932,1.605873375
Maurice Harkless,SAC,SF,34,772,1.51498015
Kyle Kuzma,LAL,SF,68,1954,1.403590379
Jarrett Culver,MIN,SG,33,499,1.36542958
Bruno Fernando,ATL,C,28,226,1.363121622
Cory Joseph,DET,PG,63,1446,1.332820409
Dean Wade,CLE,PF,61,1212,1.282525999
Aaron Gordon,DEN,PF,50,1384,1.281201779
Precious Achiuwa,MIA,PF,56,737,1.27104751
JaMychal Green,DEN,PF,58,1120,1.228402248
Brodric Thomas,CLE,SG,26,399,1.200674992
Reggie Bullock Jr.,NYK,SF,65,1949,1.187380141
Keldon Johnson,SAS,SF,69,1968,1.153493177
Onyeka Okongwu,ATL,C,49,601,1.147849262
Kentavious Caldwell-Pope,LAL,SG,67,1902,1.127938718
Luka Samanic,SAS,PF,27,308,1.06314336
Chuma Okeke,ORL,PF,45,1133,1.043822756
Patrick Williams,CHI,PF,71,1983,1.008459606
Eric Bledsoe,NOP,SG,71,2111,0.993740399
Josh Hart,NOP,SF,47,1349,0.980535666
David Nwaba,HOU,SF,29,679,0.92059958
DaQuan Jeffries,SAS,SG,29,493,0.880772551
Spencer Dinwiddie,BKN,SG,3,64,0.828361764
Anthony Tolliver,PHI,PF,8,99,0.789790685
Jordan Bell,GSW,C,6,82,0.781215821
Reggie Jackson,LAC,SG,64,1544,0.7690799
Harrison Barnes,SAC,PF,58,2102,0.676158412
Gary Harris,ORL,SG,38,1080,0.574688776
Ricky Rubio,MIN,PG,68,1772,0.566590416
Tim Hardaway Jr.,DAL,SG,70,1989,0.564248404
Evan Fournier,BOS,SF,42,1259,0.513219926
Lamar Stevens,CLE,PF,37,499,0.490986845
Cameron Johnson,PHX,PF,60,1437,0.47422077
Joe Harris,BKN,SF,69,2141,0.333390656
Cam Reynolds,HOU,SF,3,40,0.313399245
Terance Mann,LAC,SG,59,1263,0.312661275
Adam Mokoka,CHI,SG,4,56,0.284693738
D.J. Wilson,HOU,PF,33,433,0.284230551
Bradley Beal,WAS,SG,60,2147,0.283378498
Justise Winslow,MEM,SF,26,507,0.282087134
Markieff Morris,LAL,PF,60,1200,0.26244435
Davis Bertans,WAS,PF,57,1464,0.247685124
Thanasis Antetokounmpo,MIL,SF,49,551,0.209086842
Gary Payton II,GSW,PG,6,40,0.193260479
Dylan Windler,CLE,SF,31,513,0.18277957
James Harden,BKN,PG,44,1609,0.175977785
Torrey Craig,PHX,SF,50,803,0.081185057
Kemba Walker,OKC,PG,43,1369,0.046059704
Josh Jackson,DET,SG,62,1560,0.041068162
Dennis Smith Jr.,DET,PG,23,420,0.040631878
Willy Hernangomez,NOP,C,45,846,0.032678513
Devonte' Graham,CHA,PG,54,1659,0.031936792
Mamadi Diakite,MIL,PF,14,141,0.030585857
Killian Tillie,MEM,C,14,182,-0.156976991
Grayson Allen,MEM,SG,50,1259,-0.160107585
Kira Lewis Jr.,NOP,PG,50,904,-0.182812968
Mike Scott,PHI,PF,50,852,-0.272750581
Moses Brown,BOS,C,43,920,-0.314086452
Miye Oni,UTA,SG,48,519,-0.346413894
Freddie Gillespie,TOR,PF,20,392,-0.350980451
Wenyen Gabriel,NOP,PF,19,241,-0.409526439
Anthony Gill,WAS,PF,24,218,-0.445462765
Boban Marjanovic,DAL,C,31,271,-0.511073638
Ryan Arcidiacono,CHI,PG,37,450,-0.519183885
Bogdan Bogdanovic,ATL,SG,44,1305,-0.568928774
Kelan Martin,IND,SF,25,322,-0.579003743
Isaiah Roby,OKC,PF,61,1425,-0.609565045
Enes Freedom,POR,C,72,1758,-0.670886033
LaMelo Ball,CHA,PG,51,1469,-0.672291632
Stephen Curry,GSW,PG,63,2152,-0.686153107
Cameron Payne,PHX,PG,59,1080,-0.701241972
Will Barton,DEN,SF,55,1736,-0.751246675
Caleb Martin,CHA,SF,47,818,-0.785783987
Jabari Parker,BOS,PF,13,166,-0.787076872
Kyrie Irving,BKN,PG,54,1886,-0.831944081
Nickeil Alexander-Walker,NOP,SG,46,1007,-0.937327584
Zach LaVine,CHI,SG,58,2034,-0.956562852
Dennis Schroder,LAL,SG,61,1956,-0.994980544
KJ Martin,HOU,SF,43,1068,-1.018909235
Chandler Hutchison,WAS,SF,22,346,-1.035086883
Naji Marshall,NOP,SF,29,700,-1.04111638
Abdel Nader,PHX,SF,22,355,-1.060439392
Nathan Knight,ATL,PF,29,279,-1.071145852
Devin Booker,PHX,SG,67,2270,-1.08549036
Justin Patton,HOU,C,13,247,-1.093262421
Buddy Hield,SAC,SG,71,2433,-1.104434463
Gabe Vincent,MIA,PG,41,655,-1.118992527
Jalen Brunson,DAL,PG,68,1697,-1.13726541
Bojan Bogdanovic,UTA,SF,72,2216,-1.146170844
Udoka Azubuike,UTA,C,13,57,-1.16602108
Chris Silva,SAC,PF,12,92,-1.166110764
De'Aaron Fox,SAC,PG,58,2036,-1.172502336
Jeff Green,BKN,PF,68,1835,-1.217434145
Gorgui Dieng,SAS,C,38,553,-1.276079991
Hamidou Diallo,DET,SF,51,1226,-1.276855884
Iman Shumpert,BKN,SG,1,11,-1.299445449
Jevon Carter,PHX,PG,52,717,-1.30001487
Obi Toppin,NYK,PF,60,683,-1.392579223
Alen Smailagic,GSW,PF,12,84,-1.417515345
Didi Louzada,NOP,SF,3,56,-1.481253274
Jalen McDaniels,CHA,SF,44,904,-1.482689282
Lauri Markkanen,CHI,PF,51,1317,-1.48708133
Yogi Ferrell,LAC,PG,9,137,-1.493411232
Rayjon Tucker,PHI,PG,10,68,-1.551901883
Brad Wanamaker,CHA,PG,58,1053,-1.597334576
Terry Rozier,CHA,SG,69,2383,-1.649066977
Marquese Chriss,GSW,PF,2,27,-1.66689795
Tomas Satoransky,CHI,SG,58,1307,-1.703784064
Brandon Ingram,NOP,SF,61,2093,-1.738858655
Dewayne Dedmon,MIA,C,16,210,-1.743474751
Sindarius Thornwell,ORL,SG,15,217,-1.747996769
George Hill,PHI,PG,30,672,-1.787474388
Devontae Cacok,LAL,PF,19,98,-1.813887203
Jahmi'us Ramsey,SAC,SG,10,94,-1.828547644
Jared Dudley,LAL,PF,11,81,-1.912295868
Devon Dotson,CHI,PG,11,50,-1.978801227
Eric Paschall,GSW,PF,40,695,-2.010784674
Austin Rivers,DEN,SG,34,845,-2.030755525
CJ McCollum,POR,SG,47,1600,-2.101120073
Meyers Leonard,MIA,C,3,29,-2.161638932
Killian Hayes,DET,PG,26,670,-2.210041568
Elfrid Payton,NYK,PG,62,1484,-2.213798007
Mfiondu Kabengele,CLE,PF,34,280,-2.306467443
Aaron Holiday,IND,PG,62,1176,-2.386822405
Damion Lee,GSW,SG,57,1079,-2.473431856
Eric Gordon,HOU,SG,27,789,-2.4876547
Patrick Patterson,LAC,PF,36,582,-2.513246011
Aaron Nesmith,BOS,SF,40,669,-2.548924456
Marvin Bagley III,SAC,PF,43,1112,-2.602019207
Reggie Perry,BKN,PF,20,211,-2.621454111
T.J. Leaf,POR,PF,7,35,-2.627971007
Semi Ojeleye,BOS,PF,52,950,-2.660361742
Khyri Thomas,HOU,SG,5,153,-2.671573352
Romeo Langford,BOS,SG,15,283,-2.711509821
Chimezie Metu,SAC,C,35,488,-2.736964944
JaKarr Sampson,IND,PF,26,316,-2.755099065
Tyrell Terry,DAL,PG,7,56,-2.765830034
Dwayne Bacon,ORL,SG,72,1853,-2.799380359
Devin Vassell,SAS,SF,60,1056,-2.812828829
Marcus Morris Sr.,LAC,PF,57,1502,-2.833532081
Cam Reddish,ATL,SF,26,750,-2.833603707
Oshae Brissett,IND,SF,20,519,-2.835325838
Frank Ntilikina,NYK,PG,26,322,-2.853418918
Trey Lyles,SAS,PF,22,358,-2.871921735
Rodions Kurucs,MIL,PF,17,125,-2.895101573
Gary Clark,PHI,SF,36,654,-2.97381853
Jordan Clarkson,UTA,SG,68,1818,-3.150414018
Amir Coffey,LAC,SG,24,394,-3.217710338
Henry Ellenson,TOR,PF,2,38,-3.225668614
Kendrick Nunn,MIA,PG,55,1650,-3.23878489
Cameron Oliver,HOU,SF,4,87,-3.254073181
Damian Lillard,POR,PG,67,2398,-3.267709532
Kostas Antetokounmpo,LAL,PF,12,56,-3.272852766
Javonte Green,CHI,SF,34,474,-3.342623851
Nicolo Melli,DAL,PF,40,566,-3.363028765
Tony Snell,ATL,SG,46,992,-3.388461255
Andre Roberson,BKN,SG,4,63,-3.390152957
Ray Spalding,HOU,C,2,19,-3.466703134
Taurean Prince,CLE,PF,41,905,-3.504288196
Denzel Valentine,CHI,SG,58,1036,-3.525694431
Isaac Okoro,CLE,SG,67,2173,-3.648950943
Danilo Gallinari,ATL,PF,51,1222,-3.648998117
Wes Iwundu,NOP,SF,32,535,-3.654538036
Jeremy Lamb,IND,SG,36,765,-3.707500414
Jeremiah Martin,CLE,PG,7,75,-3.722845601
Tyler Herro,MIA,SG,54,1635,-3.742371081
Karim Mane,ORL,PG,7,88,-3.752299778
Tyus Jones,MEM,PG,68,1222,-3.760495334
Jalen Harris,TOR,SG,13,172,-3.769889968
Terrence Ross,ORL,SG,46,1347,-3.805238402
Josh Hall,OKC,SF,19,336,-3.867294615
Saben Lee,DET,PG,44,781,-3.878666971
Saddiq Bey,DET,SF,70,1909,-3.954190877
Vernon Carey Jr.,CHA,C,18,115,-4.02665581
Jerome Robinson,WAS,SG,16,305,-4.073085459
John Wall,HOU,PG,40,1288,-4.09277489
Vincent Poirier,PHI,C,8,39,-4.137029771
Furkan Korkmaz,PHI,SG,53,1062,-4.140813438
Caris LeVert,IND,SG,47,1485,-4.174964533
Rondae Hollis-Jefferson,POR,PF,11,107,-4.184499227
Kevin Love,CLE,PF,24,622,-4.198495851
Sterling Brown,HOU,SG,50,1229,-4.244753075
Tim Frazier,MEM,PG,4,62,-4.258746156
Marques Bolden,CLE,C,4,29,-4.321219647
Jeff Teague,MIL,PG,54,950,-4.325549713
Mike James,BKN,PG,13,236,-4.332166383
Troy Brown Jr.,CHI,SF,32,523,-4.48989045
Nemanja Bjelica,MIA,PF,37,595,-4.505075771
Paul Watson,TOR,SF,21,297,-4.514179159
Robert Woodard II,SAC,SF,5,45,-4.543602264
Anderson Varejao,CLE,C,5,36,-4.562675207
E'Twaun Moore,PHX,SG,26,389,-4.563244731
Shai Gilgeous-Alexander,OKC,SG,35,1180,-4.573487128
Rodney Hood,TOR,SF,53,943,-4.577161444
Skylar Mays,ATL,SG,29,269,-4.589904683
Gabriel Deck,OKC,PF,10,212,-4.631473311
Jahlil Okafor,DET,C,27,347,-4.683206813
Garrison Mathews,WAS,SG,59,1038,-4.718045054
James Nunnally,NOP,SF,4,48,-4.724640323
Frank Jackson,DET,PG,35,738,-4.775894417
Thon Maker,CLE,C,8,76,-4.839174583
CJ Elleby,POR,SF,19,192,-4.878117283
Ty-Shon Alexander,PHX,SG,9,47,-4.97746029
Shake Milton,PHI,SG,63,1461,-4.999477562
Keita Bates-Diop,SAS,SF,23,245,-5.002664263
Otto Porter Jr.,ORL,SF,27,607,-5.012589534
Greg Whittington,DEN,PF,2,12,-5.082584807
Cristiano Felicio,CHI,C,16,84,-5.084506752
Timothe Luwawu-Cabarrot,BKN,SF,56,1050,-5.134940248
Ersan Ilyasova,UTA,PF,16,148,-5.140168752
DeMar DeRozan,SAS,PF,61,2056,-5.144292939
Jake Layman,MIN,SF,42,627,-5.153969071
Bruno Caboclo,HOU,PF,5,36,-5.162422536
Theo Maledon,OKC,PG,65,1778,-5.235019147
Louis King,SAC,SF,5,85,-5.243300025
Brandon Goodwin,ATL,PG,40,620,-5.260841166
Edmond Sumner,IND,SG,49,861,-5.312133852
Cassius Stanley,IND,SG,16,93,-5.354393615
Anthony Edwards,MIN,SG,72,2314,-5.387580841
Justin Jackson,MIL,SF,31,577,-5.466757871
Lou Williams,ATL,PG,65,1423,-5.481043654
Svi Mykhailiuk,OKC,SF,63,1324,-5.48646126
Juwan Morgan,UTA,PF,25,147,-5.51941282
Seth Curry,PHI,SG,56,1638,-5.524422173
Rajon Rondo,LAC,PG,44,769,-5.556149114
Chris Chiozza,BKN,PG,16,232,-5.596802443
Immanuel Quickley,NYK,PG,64,1243,-5.597220739
Jordan Poole,GSW,SG,48,988,-5.675590563
Shaquille Harrison,DEN,SG,26,332,-5.679189159
Carmelo Anthony,POR,PF,69,1690,-5.680053173
Jontay Porter,MEM,PF,7,54,-5.768281699
Nate Hinton,DAL,SG,12,93,-5.787518081
Malcolm Brogdon,IND,PG,56,1930,-5.80661694
Coby White,CHI,PG,69,2156,-5.810855495
Markelle Fultz,ORL,PG,7,215,-5.8265838
Charlie Brown Jr.,OKC,SG,9,152,-5.934433544
Alize Johnson,BKN,PF,15,189,-5.937326964
Quinn Cook,CLE,PG,13,157,-5.990630944
Avery Bradley,HOU,SG,27,602,-6.178816599
Josh Green,DAL,SG,32,445,-6.305978328
Tyler Johnson,BKN,SG,34,684,-6.320805635
Malik Fitts,LAC,PF,2,11,-6.345014227
Ignas Brazdeikis,ORL,SF,8,249,-6.386145889
Gary Trent Jr.,TOR,SG,58,1802,-6.442456218
Ja Morant,MEM,PG,63,2053,-6.470281414
Jaylen Hoard,OKC,SF,19,320,-6.530921697
Deividas Sirvydis,DET,SG,16,133,-6.557050123
Trey Burke,DAL,PG,56,914,-6.586455842
Cole Anthony,ORL,PG,47,1273,-6.589072887
Sekou Doumbouya,DET,PF,51,869,-6.656118647
Jarrell Brantley,UTA,PF,22,138,-6.658956722
Zeke Nnaji,DEN,PF,38,397,-6.690824318
Jaren Jackson Jr.,MEM,C,11,258,-6.699356512
Darius Garland,CLE,PG,54,1790,-6.779033933
Patrick McCaw,TOR,SF,4,33,-6.789062122
Isaiah Thomas,NOP,PG,2,48,-6.798389423
Terence Davis,SAC,SG,58,1074,-6.83689795
Kevin Knox II,NYK,SF,38,464,-6.853277051
Ben McLemore,LAL,SG,46,905,-6.91712547
Jaylen Nowell,MIN,SG,41,759,-6.939097911
Tyler Cook,DET,SF,28,437,-7.02557454
Rodney McGruder,DET,SG,12,194,-7.048592707
Cedi Osman,CLE,SF,58,1511,-7.130939162
Chasson Randle,ORL,PG,39,837,-7.161546076
Mychal Mulder,GSW,PG,54,766,-7.166682576
Jordan Nwora,MIL,SF,22,274,-7.167896697
Jay Scrubb,LAC,SG,4,84,-7.205016775
Nick Richards,CHA,PF,14,63,-7.21568002
Anzejs Pasecniks,WAS,C,1,6,-7.24497567
Jalen Lecque,IND,PG,2,12,-7.251446434
Axel Toupane,MIL,SF,3,61,-7.299853552
Sean McDermott,MEM,SF,11,158,-7.379714789
Kris Dunn,ATL,PG,3,45,-7.45929775
Patty Mills,SAS,PG,67,1685,-7.518984388
Aleksej Pokusevski,OKC,PF,45,1090,-7.534765496
Elijah Hughes,UTA,SF,10,64,-7.620753375
Matthew Dellavedova,CLE,PG,13,224,-7.62704461
Isaiah Joe,PHI,SG,33,383,-7.65524356
Theo Pinson,NYK,SG,9,34,-7.668124966
Tremont Waters,BOS,PG,18,238,-7.853121897
Lonnie Walker IV,SAS,SG,59,1522,-7.854507132
R.J. Hampton,ORL,SG,46,888,-7.887565676
Collin Sexton,CLE,SG,59,2115,-7.930736033
Nate Darling,CHA,SG,4,26,-7.948946249
Bol Bol,DEN,PF,24,160,-7.988614837
Malik Beasley,MIN,SG,37,1214,-8.057037878
Damyean Dotson,CLE,SG,41,907,-8.060823103
Goran Dragic,MIA,PG,50,1337,-8.102310324
T.J. Warren,IND,SF,4,117,-8.147043235
Langston Galloway,PHX,SG,34,438,-8.210512304
Tyler Bey,DAL,SF,15,71,-8.233798415
Anthony Lamb,HOU,SF,21,415,-8.271944244
Donovan Mitchell,UTA,PG,53,1771,-8.279203864
Nassir Little,POR,PF,44,640,-8.365240146
Max Strus,MIA,SF,33,507,-8.392552239
Wayne Ellington,DET,SG,44,1012,-8.392802654
Carsen Edwards,BOS,SG,22,276,-8.415153271
Juancho Hernangomez,MIN,PF,50,900,-8.513466548
Cassius Winston,WAS,PG,8,98,-8.583727287
Noah Vonleh,BKN,C,3,11,-8.692803389
Ty Jerome,OKC,SG,33,788,-8.737073919
Brian Bowen II,IND,SF,1,15,-8.738411552
Jalen Smith,PHX,PF,20,156,-8.821579336
Terrance Ferguson,PHI,SG,8,49,-8.868295218
Dakota Mathias,PHI,SG,6,123,-8.933658353
Markus Howard,DEN,SG,18,205,-9.060225134
Malik Monk,CHA,SG,39,878,-9.079383314
D'Angelo Russell,MIN,PG,41,1196,-9.104170844
Jared Harper,NYK,PG,3,16,-9.107886783
Alfonzo McKinnie,LAL,SF,22,258,-9.239774177
Glenn Robinson III,SAC,SF,21,369,-9.371724823
Mason Jones,PHI,SG,24,334,-9.384628955
Kyle Guy,SAC,PG,18,235,-9.399755953
Tre Jones,SAS,PG,19,269,-9.438665704
Sam Merrill,MIL,SG,19,233,-9.450455286
Doug McDermott,IND,PF,66,1619,-9.509519879
Landry Shamet,BKN,SG,61,1403,-9.527233617
Tyrese Haliburton,SAC,PG,58,1746,-9.612825174
JJ Redick,DAL,SG,38,723,-9.733293893
Grant Riller,CHA,PG,4,27,-10.0062491
Jordan Bone,ORL,PG,11,196,-10.08521664
Amida Brimah,IND,C,4,29,-10.14991683
Luke Kennard,LAC,SG,59,1232,-10.15893025
Quinndary Weatherspoon,SAS,SG,16,121,-10.17300984
D.J. Augustin,HOU,PG,53,1129,-10.34748693
Nico Mannion,GSW,PG,23,364,-10.40982321
Kevin Porter Jr.,HOU,SG,25,835,-10.60302631
Tyrese Maxey,PHI,SG,55,935,-10.67184037
Trent Forrest,UTA,PG,25,302,-10.86755231
Armoni Brooks,HOU,SG,18,520,-11.12675476
Trae Young,ATL,PG,63,2125,-11.25214132
Payton Pritchard,BOS,SG,63,1268,-11.65790464
Jaylen Adams,MIL,PG,2,18,-11.66495578
Bryn Forbes,MIL,SG,64,1354,-12.30901547
Elijah Bryant,MIL,SG,1,32,-12.50728597
Matt Thomas,UTA,SG,30,327,-14.64130205
Anfernee Simons,POR,SG,60,1104,-14.9229251
