Player,Team,Pos,G,MP,DIS,Z_Hustle,Z_Defense,Z_Difficulty,Z_D_LEBRON
Rayan Rupert,POR,SG,38,460,-2.794810178,-0.687360185,1.195510843,-1.27045902,-0.605272734
Leonard Miller,MIN,SF,6,32,-2.81476671,-1.24907391,-0.082226885,1.780067331,-0.510692921
Obi Toppin,IND,PF,79,1545,-2.833000052,0.308079646,-0.844868553,-0.382710289,-0.357000725
Luke Kennard,MEM,SG,63,1472,-2.83732217,-0.20669473,0.172307452,-0.341987693,-0.711675023
MarJon Beauchamp,NYK,SF,22,156,-2.842216118,-1.000390031,1.063161488,-1.377574204,-0.144196146
Patty Mills,LAC,PG,25,321,-2.853858443,-0.698269279,-0.272914971,0.024412261,-0.037793856
Cam Whitmore,HOU,SF,44,827,-2.889864824,-0.471520713,0.344367398,-0.512449991,-0.522515397
Isaiah Crawford,SAC,SF,8,46,-2.897548425,-1.221474337,0.640567152,-1.355637752,0.399637778
Spencer Jones,DEN,SF,13,125,-2.94393364,-1.135864002,1.157912988,-1.237777299,-0.191486052
Brandon Miller,CHA,SF,27,924,-2.964438436,-0.197064734,0.182462369,0.15185206,-1.019059415
Kobe Bufkin,ATL,SG,10,124,-2.965575965,-1.103528684,1.310002616,-2.04325793,0.04496348
Tony Bradley,IND,C,11,113,-2.986749542,-1.049651639,0.407626195,-0.282847784,-0.144196146
Moses Brown,DAL,C,11,119,-2.990149236,-1.064379366,0.521161841,-0.634044495,-0.049616333
Vlatko Cancar,DEN,PF,9,136,-3.107146914,-1.164473353,0.671035709,-1.092674098,0.11589834
Jalen Brunson,NYK,PG,65,2301,-3.109248407,1.753227915,-1.226626232,-0.196319791,-1.669295629
Devin Vassell,SAS,SG,64,1983,-3.119705751,0.605084032,-1.008592975,0.263620552,-0.936302079
TyTy Washington Jr.,PHX,PG,7,118,-3.139800913,-1.085413672,0.746908353,-0.878828228,-0.144196146
Isaiah Wong,CHA,SG,17,265,-3.15930993,-0.906398509,0.131469283,0.366991048,-0.439758061
D'Angelo Russell,BKN,PG,57,1481,-3.215521584,0.144930445,-0.807118404,-0.043313811,-0.522515397
Bronny James,LAL,SG,15,181,-3.253021086,-1.062867729,-0.062418872,0.467703244,-0.203308529
Bruce Brown,NOP,PG,41,921,-3.334312484,-0.431407761,-1.025313381,0.637188459,-0.144196146
Scoot Henderson,POR,PG,66,1759,-3.350141641,0.692248712,-1.26044663,0.048038964,-0.782609883
Tyler Herro,MIA,SG,77,2725,-3.355017926,0.771341404,-1.280486814,0.061872751,-0.853544743
Michael Porter Jr.,DEN,SF,77,2593,-3.36545374,0.452061605,-0.470674911,0.05313723,-1.208219041
Jaylon Tyson,CLE,SG,36,453,-3.372177897,-0.709633586,0.790257451,-0.486147599,-0.829899789
Georges Niang,ATL,PF,78,1697,-3.489457056,0.45972144,-0.76975704,-0.350309512,-0.806254836
DeMar DeRozan,SAC,SF,77,2768,-3.502529017,1.004282751,-1.141240021,-0.568913987,-0.936302079
Lester Quinones,NOP,SG,9,183,-3.505796327,-1.105192466,0.472737222,-0.153416633,-0.380645678
Trevelin Queen,ORL,SG,25,430,-3.524101062,-0.504585543,-0.750090915,-0.203650011,0.056785957
Norman Powell,LAC,SG,60,1958,-3.551270532,0.235061751,-1.154806069,0.29758506,-0.605272734
Guerschon Yabusele,PHI,C,70,1896,-3.59809757,1.562299738,-1.623685389,-0.02243154,-1.397378667
Josh Christopher,MIA,SG,3,69,-3.710814681,-1.156512614,0.651853398,-1.88103444,0.316880442
Emoni Bates,CLE,SF,6,75,-3.740335016,-1.239345717,0.460461323,0.38095478,-0.581627781
Gary Trent Jr.,MIL,SG,73,1893,-3.750918638,0.18026143,-1.199809132,0.443671882,-0.65256264
Tyrese Maxey,PHI,PG,52,1960,-3.81895633,0.567264053,0.276759085,0.166270205,-2.15401717
Klay Thompson,DAL,SF,72,1965,-3.828549499,0.215961564,0.123627354,0.431995647,-1.811165348
Jack McVeigh,HOU,PF,5,43,-3.898321178,-1.231426376,-0.192141467,0.685404614,-0.250598435
Sandro Mamukelashvili,SAS,PF,54,681,-3.97039932,-0.230405148,-0.387255762,-1.22865907,-0.156018622
Blake Wesley,SAS,SG,47,683,-4.020535233,-0.613480226,-0.850849292,0.087563402,-0.06143881
Keldon Johnson,SAS,SF,77,1838,-4.02884874,0.479321627,-0.549111291,0.207270126,-1.468313527
Jalen Bridges,PHX,SF,4,30,-4.070990644,-1.26456734,0.71834317,-1.684829238,0.151365769
Jazian Gortman,DAL,PG,6,57,-4.114235834,-1.241452297,-0.820393334,1.584954846,-0.238775959
Jordan McLaughlin,SAS,PG,34,314,-4.160362563,-0.711762434,-0.820941139,-0.473706107,0.245945582
Jared Butler,PHI,SG,52,1044,-4.161402722,0.058372253,0.021226407,-0.888271501,-1.019059415
Garrison Mathews,ATL,SG,42,830,-4.163085581,0.134625645,-1.356375693,-0.282818652,-0.250598435
Ayo Dosunmu,CHI,SG,46,1394,-4.177961517,0.008049467,-1.183286086,0.192122705,-0.510692921
Ty Jerome,CLE,SG,70,1393,-4.217469529,0.384506915,-1.347729253,-0.454928638,-0.439758061
Tyler Smith,MIL,PF,14,122,-4.277447545,-1.071313096,0.870703409,-2.226459859,0.033141003
Jacob Toppin,ATL,SF,9,75,-4.278415727,-1.204287265,0.143904722,-0.537021252,-0.073261286
Aaron Gordon,DEN,PF,51,1447,-4.284505586,-0.315816982,0.078480644,0.391963261,-1.373733714
Brandon Williams,DAL,PG,26,487,-4.288349267,-0.609444327,-0.567497758,0.516364207,-0.605272734
Jaylen Sims,CHA,SG,6,112,-4.345860814,-1.201069285,1.314752027,-3.130956609,0.222300629
Tristen Newton,MIN,SG,3,16,-4.362836191,-1.259377775,0.438938562,-0.099980339,-0.510692921
Terry Rozier,MIA,PG,60,1658,-4.377935005,0.013318981,-1.155811279,-0.068458186,-0.475225491
Collin Gillespie,PHX,PG,29,461,-4.43726093,-0.578433737,-1.217933284,0.280525086,-0.02597138
Cory Joseph,ORL,PG,44,612,-4.453025613,-0.540280982,-0.821889958,-0.584587188,0.033141003
Malaki Branham,SAS,SG,30,427,-4.628033809,-0.963268516,0.735430357,0.268351511,-1.326443807
Lindy Waters III,DET,SG,46,777,-4.628702145,-0.205649105,-1.166109942,-1.010073236,0.139543293
Jamal Shead,TOR,PG,70,1467,-4.650413771,0.680134767,-1.748226376,-0.123484709,-0.711675023
Kyle Filipowski,UTA,C,71,1522,-4.654687675,0.676631325,-1.934388196,-0.542050942,-0.345178248
Lauri Markkanen,UTA,PF,47,1476,-4.661351368,0.106291112,0.21081315,0.234565083,-1.953035068
Quincy Olivari,LAL,PG,1,10,-4.664876799,-1.279105532,-0.732132833,0.720457347,-0.02597138
Jevon Carter,CHI,PG,26,321,-4.693824944,-1.049142267,-0.447343891,0.59415718,-0.439758061
Armel Traore,LAL,SF,7,67,-4.796732304,-1.196557014,-0.408164249,-0.427165298,0.151365769
Cam Christie,LAC,SG,5,59,-4.797268307,-1.248748442,0.764534612,-1.119035171,-0.427935585
Drew Timme,BKN,PF,9,254,-4.810674985,-0.845203414,-0.190256821,-0.722063209,-0.238775959
Tyler Kolek,NYK,PG,22,296,-4.919874955,-0.986169796,-0.826953846,0.642811095,-0.286065865
N'Faly Dante,HOU,C,4,51,-5.017572749,-1.213222955,-0.189443587,-0.692790237,0.04496348
Shaedon Sharpe,POR,SG,72,2252,-5.02011223,0.43418885,-0.971762834,0.246532779,-1.42102362
Jarace Walker,IND,PF,66,1187,-5.048884844,-0.053839275,-2.58121872,-0.819511933,0.931649226
Jock Landale,HOU,C,40,500,-5.054780067,-0.523308462,-0.791323738,-0.952420799,-0.02597138
Jesse Edwards,MIN,C,1,5,-5.061836869,-1.281537581,-1.304702857,2.408052806,-0.522515397
Emanuel Miller,CHI,PF,3,25,-5.070069917,-1.268476199,-0.295907979,-0.747225599,0.198655676
Jaylen Martin,WAS,SF,9,239,-5.101629727,-1.092662805,-0.92579942,0.473760731,-0.073261286
Daishen Nix,MIN,PG,2,13,-5.149196796,-1.279105532,0.134559416,-0.101111605,-0.498870444
Markieff Morris,LAL,PF,11,164,-5.200803652,-1.121929221,-0.202111117,-0.692679652,-0.096906239
Trey Murphy III,NOP,SF,53,1854,-5.218432376,0.529238978,-1.618095609,1.994528417,-1.917567638
E.J. Liddell,CHI,PF,8,53,-5.232108025,-1.227185476,-0.765529445,-0.1078401,0.175010723
Lamar Stevens,MEM,PF,12,155,-5.234001881,-1.110757588,-0.151481909,-0.93976185,-0.037793856
Alex Reese,PHI,PF,15,216,-5.283777845,-0.816621306,-1.093160717,-1.765125202,0.84889189
Jaylen Nowell,NOP,SG,7,168,-5.296855043,-1.180271082,-0.620470325,0.766583753,-0.451580538
Nae'Qwan Tomlin,CLE,PF,4,63,-5.299442939,-1.234644355,0.291553968,-0.55185564,-0.498870444
Oshae Brissett,PHI,SF,6,142,-5.314907566,-0.950546695,-0.960010297,0.128006366,-0.085083763
Wendell Moore Jr.,CHA,SG,30,499,-5.347622106,-0.817633054,-0.780195682,-0.932220697,0.151365769
Jalen Wilson,BKN,PF,77,2031,-5.350628946,0.316301407,-0.784206392,0.091238834,-1.49195848
Gradey Dick,TOR,SG,54,1587,-5.372637279,0.452272388,-1.167747107,-0.147264654,-1.196396564
Jamison Battle,TOR,SF,56,1042,-5.392635574,-0.497989393,-0.013857948,-0.608831045,-0.983591985
Duop Reath,POR,C,39,469,-5.39642728,-0.619821123,-0.564579417,-0.65571889,-0.380645678
Isaiah Mobley,PHI,PF,1,17,-5.423317374,-1.245686625,-0.494866935,-0.034646102,-0.132373669
Brandon Boston,NOP,SG,41,993,-5.476592065,-0.243910728,-1.5592744,0.76432098,-0.664385117
Jackson Rowe,GSW,PF,4,52,-5.493509362,-1.209943864,0.485501908,-1.739584448,-0.156018622
Kevin McCullar Jr.,NYK,SF,3,29,-5.520981978,-1.213561567,-1.169674742,0.937028769,-0.120551193
Trey Alexander,DEN,SG,14,116,-5.539311061,-1.167541741,-0.048387788,-0.586787748,-0.345178248
Jae Crowder,SAC,PF,7,103,-5.574397976,-1.170468564,-1.105754908,-0.260744041,0.364170348
Pat Connaughton,MIL,SG,39,603,-5.585774902,-0.803741496,-0.981923375,-0.640689804,0.08043091
Patrick Baldwin Jr.,LAC,SF,14,107,-5.592849831,-1.210519535,-0.266788373,-1.472996127,0.305057965
Cody Williams,UTA,SG,49,1060,-5.62672914,-0.409278478,-0.781193627,-0.254546285,-0.68803007
Anthony Gill,WAS,PF,39,397,-5.673225879,-0.77697632,-0.878871936,-0.758758533,-0.002326427
Kobe Brown,LAC,PF,27,272,-5.676083082,-0.908483246,-0.908333924,-0.637705795,0.092253386
Bennedict Mathurin,IND,SF,72,2149,-5.707126983,0.498358007,-1.724470098,-0.078391302,-0.924479602
Bub Carrington,WAS,PG,82,2458,-5.746291474,0.726531755,-1.1305621,0.506415809,-1.953035068
Eric Gordon,PHI,SG,37,768,-5.7518696,-0.68743312,-0.422213715,0.045645328,-0.900834649
Tristan Vukcevic,WAS,C,31,513,-5.924433994,-0.316632994,-1.194065559,-2.054588107,0.364170348
A.J. Lawson,TOR,SG,24,486,-5.960707421,-0.879825429,-0.191666313,-0.849679438,-0.522515397
Dario Saric,DEN,C,15,210,-6.011063604,-0.911999397,-0.543599833,-0.823470257,-0.226953482
