Player,Team,Pos,G,MP,DIS
Rudy Gobert,UTA,C,66,2120,27.63324524
Draymond Green,GSW,PF,45,1329,23.59253997
Al Horford,BOS,C,69,2005,22.8560107
Robert Williams III,BOS,C,61,1804,20.6047258
Mitchell Robinson,NYK,C,72,1848,19.72759612
Jaren Jackson Jr.,MEM,PF,78,2126,18.80457796
Kevon Looney,GSW,C,82,1732,18.80237807
Bam Adebayo,MIA,C,56,1825,18.65598975
Matisse Thybulle,PHI,SG,66,1685,18.63887967
Jarrett Allen,CLE,C,56,1810,18.3695368
Nikola Jokic,DEN,C,74,2476,17.88210219
Jakob Poeltl,SAS,C,68,1970,16.15138606
Giannis Antetokounmpo,MIL,PF,67,2204,16.12609895
Herbert Jones,NOP,PF,77,2335,16.04907597
Clint Capela,ATL,C,74,2042,16.01094135
Evan Mobley,CLE,PF,69,2331,15.62259427
Myles Turner,IND,C,42,1235,15.42076399
Joel Embiid,PHI,C,68,2297,15.32258196
Robert Covington,LAC,PF,71,1939,14.88009678
P.J. Tucker,MIA,PF,71,1981,14.8195915
Isaiah Stewart,DET,C,71,1816,14.28435837
Ivica Zubac,LAC,C,76,1852,13.84584327
Jrue Holiday,MIL,PG,66,2208,13.80315472
Nikola Vucevic,CHI,C,73,2418,13.75022766
Marcus Smart,BOS,PG,71,2296,13.46374438
Mo Bamba,ORL,C,70,1824,13.37473886
Jarred Vanderbilt,MIN,PF,74,1880,13.28117916
Anthony Davis,LAL,C,40,1404,13.17326125
Dwight Powell,DAL,C,82,1798,13.14697912
Wendell Carter Jr.,ORL,PF,62,1852,12.95172995
Bobby Portis,MIL,C,72,2028,12.91714581
Caleb Martin,MIA,SF,59,1372,12.8428698
Jaden McDaniels,MIN,PF,70,1803,12.83716354
Maxi Kleber,DAL,PF,58,1450,12.7638598
Deandre Ayton,PHX,C,58,1713,12.75342226
Mason Plumlee,CHA,C,73,1793,12.72839484
Jae Crowder,PHX,PF,67,1886,12.43595633
Tony Bradley,CHI,C,50,549,12.17087124
Steven Adams,MEM,C,76,1999,11.71977274
Bruce Brown,BKN,SF,72,1774,11.69757807
Derrick White,BOS,SG,75,2199,11.6180874
Jonas Valanciunas,NOP,C,74,2240,11.60602018
Dorian Finney-Smith,DAL,PF,80,2644,11.54992172
Jimmy Butler III,MIA,SF,57,1931,11.5464947
Mikal Bridges,PHX,SF,82,2854,11.34282614
Deni Avdija,WAS,SF,82,1984,11.23065269
Nerlens Noel,NYK,C,25,562,11.1101907
Andrew Wiggins,GSW,SF,73,2330,10.93130142
Gary Payton II,GSW,SG,71,1242,10.90391755
Jayson Tatum,BOS,SF,76,2731,10.72309615
Patrick Beverley,MIN,PG,57,1476,10.62793561
JaVale McGee,PHX,C,74,1172,10.41083913
Dewayne Dedmon,MIA,C,67,1065,10.39152977
Karl-Anthony Towns,MIN,C,74,2476,10.35154862
Hassan Whiteside,UTA,C,64,1162,10.2296697
Domantas Sabonis,SAC,PF,62,2136,10.13023594
Jae'Sean Tate,HOU,PF,78,2056,9.918774885
Jusuf Nurkic,POR,C,56,1579,9.826533901
Paul George,LAC,PF,31,1077,9.790956605
Scottie Barnes,TOR,PF,74,2617,9.734853473
Onyeka Okongwu,ATL,C,48,992,9.708843721
Kyle Lowry,MIA,PG,63,2133,9.563461954
Precious Achiuwa,TOR,C,73,1725,9.426990782
Alex Caruso,CHI,SG,41,1147,9.378688868
Mike Conley,UTA,PG,70,2058,9.361891905
LeBron James,LAL,C,56,2084,9.342914409
Isaiah Hartenstein,LAC,C,68,1216,9.323048996
OG Anunoby,TOR,SF,48,1728,9.278626125
Dejounte Murray,SAS,PG,68,2366,9.235080051
Franz Wagner,ORL,SF,77,2429,9.083503599
Nicolas Batum,LAC,PF,59,1462,9.04169519
Kyle Anderson,MEM,PF,69,1484,8.922217865
