Player,Team,Pos,G,MP,DIS
Rudy Gobert,UTA,C,81,2577,25.89674017
Brook Lopez,MIL,C,81,2322,23.14410382
Marc Gasol,TOR,C,79,2436,22.4451677
Draymond Green,GSW,PF,66,2065,21.3156802
Giannis Antetokounmpo,MIL,PF,72,2358,18.7719955
P.J. Tucker,HOU,PF,82,2802,18.72240488
Jusuf Nurkic,POR,C,72,1974,18.3863486
Paul George,OKC,SF,77,2841,17.8261992
Joel Embiid,PHI,C,64,2154,17.34160638
Derrick Favors,UTA,C,76,1766,17.16451756
Myles Turner,IND,C,74,2119,17.14092332
Hassan Whiteside,MIA,C,72,1674,16.28050488
Andre Drummond,DET,C,79,2647,16.15666838
Thaddeus Young,IND,PF,81,2489,15.89658437
Steven Adams,OKC,C,80,2669,15.78444342
Pascal Siakam,TOR,PF,80,2548,15.52418057
Anthony Davis,NOP,C,56,1850,15.4897906
Mitchell Robinson,NYK,C,65,1360,15.34049011
Marcus Smart,BOS,SG,80,2200,14.92206897
Nerlens Noel,OKC,C,77,1055,14.29125343
Nikola Jokic,DEN,C,80,2504,13.96759691
Bam Adebayo,MIA,C,82,1913,13.9121767
Jonathan Isaac,ORL,PF,75,1996,12.61875051
Kyle Lowry,TOR,PG,65,2213,12.47212471
Willie Cauley-Stein,SAC,C,81,2213,12.09242711
Wendell Carter Jr.,CHI,C,44,1110,11.96153345
LaMarcus Aldridge,SAS,C,81,2687,11.94580669
DeAndre Jordan,NYK,C,69,2047,11.81775315
Robert Covington,MIN,SF,35,1203,11.74631209
Montrezl Harrell,LAC,C,82,2158,11.66339087
Al Horford,BOS,C,68,1973,11.53891523
Jayson Tatum,BOS,SF,79,2455,11.36985879
Joakim Noah,MEM,C,42,693,11.2108797
Kevin Durant,GSW,SF,78,2702,11.16442385
Jerami Grant,OKC,PF,80,2612,11.10845323
Clint Capela,HOU,C,67,2249,11.05483412
Dewayne Dedmon,ATL,C,64,1609,10.84052576
JaVale McGee,LAL,C,75,1671,10.76869983
Eric Bledsoe,MIL,PG,78,2272,10.75869322
Kevon Looney,GSW,C,78,1481,10.71295891
Derrick White,SAS,PG,67,1728,10.69430603
Blake Griffin,DET,PF,75,2622,10.57702387
Noah Vonleh,NYK,PF,67,1722,10.55596488
Karl-Anthony Towns,MIN,C,77,2545,10.54402724
Paul Millsap,DEN,PF,70,1895,10.43226213
Maxi Kleber,DAL,PF,70,1502,10.38195485
Michael Kidd-Gilchrist,CHA,PF,64,1179,10.11733881
Al-Farouq Aminu,POR,PF,81,2292,10.08240841
Nikola Vucevic,ORL,C,80,2510,10.00740463
Jarrett Allen,BKN,C,79,2096,9.530758573
Ed Davis,BKN,C,81,1446,9.377855433
Nemanja Bjelica,SAC,PF,76,1788,9.196973145
Ersan Ilyasova,MIL,PF,67,1231,8.885776423
Andre Iguodala,GSW,SF,68,1578,8.856859517
Mason Plumlee,DEN,C,82,1731,8.803310348
Justise Winslow,MIA,SF,66,1960,8.799877323
Josh Richardson,MIA,SG,73,2539,8.467712142
Jaren Jackson Jr.,MEM,PF,58,1515,8.362480326
Patrick Beverley,LAC,PG,78,2137,8.237632829
Russell Westbrook,OKC,PG,73,2630,8.077555794
Justin Holiday,MEM,SG,82,2607,8.028782162
Larry Nance Jr.,CLE,C,67,1795,7.873001516
Shai Gilgeous-Alexander,LAC,PG,82,2174,7.804153267
DeMarcus Cousins,GSW,C,30,771,7.723425277
Cory Joseph,IND,PG,82,2063,7.709497428
Gorgui Dieng,MIN,C,75,1031,7.579685921
Rudy Gay,SAS,PF,69,1842,7.465107858
Ben Simmons,PHI,PG,78,2700,7.425391561
Dwight Powell,DAL,C,77,1662,7.311457866
Kelly Olynyk,MIA,PF,78,1812,7.269343375
Domantas Sabonis,IND,C,74,1838,7.240379843
Kawhi Leonard,TOR,SF,60,2040,7.23437944
James Harden,HOU,PG,78,2867,7.203919409
Aron Baynes,BOS,C,49,821,7.150006555
Lonzo Ball,LAL,PG,47,1423,7.055438545
Joe Ingles,UTA,PF,82,2568,6.9650055
Bruce Brown,DET,SG,72,1449,6.953310953
Dorian Finney-Smith,DAL,SF,81,1985,6.927317375
Serge Ibaka,TOR,C,73,2010,6.89259336
Nicolas Batum,CHA,SF,75,2354,6.885413331
Deandre Ayton,PHX,C,71,2183,6.755936782
Luke Kornet,NYK,C,45,784,6.722994462
LeBron James,LAL,SF,55,1937,6.686486349
Jakob Poeltl,SAS,C,77,1273,6.644349003
Kyle Anderson,MEM,SF,43,1281,6.640750843
Marvin Williams,CHA,PF,75,2133,6.624310675
Jrue Holiday,NOP,SG,67,2402,6.579423498
Jaylen Brown,BOS,SG,74,1913,6.551768168
James Johnson,MIA,PF,54,1164,6.124314194
Danny Green,TOR,SG,79,2216,6.094917398
Cody Zeller,CHA,C,49,1243,6.069308997
Klay Thompson,GSW,SG,77,2652,6.050633677
Treveon Graham,BKN,SG,33,715,6.008943832
Ivica Zubac,LAC,C,58,1039,5.956670823
Tyson Chandler,LAL,C,55,875,5.846360166
Davis Bertans,SAS,PF,76,1632,5.79663965
Marcin Gortat,LAC,C,47,751,5.770288619
Josh Hart,LAL,SG,67,1715,5.74908464
Derrick Jones Jr.,MIA,SF,59,1153,5.744010417
Jonas Valanciunas,MEM,C,49,1091,5.723961371
Mo Bamba,ORL,C,47,766,5.719387796
Aaron Gordon,ORL,PF,78,2633,5.686671657
Robert Williams III,BOS,C,30,283,5.59655659
Richaun Holmes,PHX,C,70,1184,5.519273953
Jae Crowder,UTA,SF,80,2166,5.289745333
Gordon Hayward,BOS,PF,69,1863,5.121059902
Victor Oladipo,IND,SG,36,1147,5.115952861
Torrey Craig,DEN,SF,72,1503,4.926066945
Kosta Koufos,SAC,C,42,502,4.849781873
Rodions Kurucs,BKN,SF,63,1294,4.826652869
Donovan Mitchell,UTA,SG,77,2598,4.772986399
Maurice Harkless,POR,SF,60,1415,4.768031594
JaMychal Green,LAC,PF,64,1371,4.763205571
Wes Iwundu,ORL,SF,68,1233,4.640305088
Omari Spellman,ATL,PF,44,805,4.605055263
Khris Middleton,MIL,SF,77,2394,4.587860558
Dragan Bender,PHX,PF,44,826,4.428182549
Daniel Theis,BOS,C,65,908,4.422114583
Boban Marjanovic,PHI,C,57,681,4.39580236
D.J. Wilson,MIL,PF,47,882,4.391803584
Garrett Temple,LAC,SG,75,2041,4.328200796
Jared Dudley,BKN,PF,58,1220,4.308736628
Josh Okogie,MIN,SG,72,1745,4.230202635
Kyrie Irving,BOS,PG,67,2214,4.182136772
Wilson Chandler,LAC,SF,50,1176,4.083544954
Chris Paul,HOU,PG,58,1857,4.047572056
Kemba Walker,CHA,PG,82,2863,4.012345591
Evan Turner,POR,PG,73,1606,3.996025287
Royce O'Neale,UTA,SF,82,1671,3.873138145
Danilo Gallinari,LAC,SF,67,2059,3.834202692
Juancho Hernangomez,DEN,PF,69,1358,3.713292627
Thabo Sefolosha,UTA,SF,47,609,3.644780691
Shaquille Harrison,CHI,SG,72,1430,3.631622225
DeMar DeRozan,SAS,SG,77,2688,3.566058211
Otto Porter Jr.,CHI,SF,56,1684,3.449693469
Stephen Curry,GSW,PG,69,2331,3.292302336
Zach Collins,POR,C,77,1356,3.278629157
Omri Casspi,MEM,SF,36,520,3.146701985
Nene,HOU,C,42,546,3.125135213
Kyle Kuzma,LAL,PF,70,2314,3.058047588
Kevin Love,CLE,PF,22,598,3.031141002
Damian Jones,GSW,C,23,410,2.955918548
Thon Maker,DET,PF,64,972,2.871128413
Ricky Rubio,UTA,PG,68,1899,2.866855057
Mike Conley,MEM,PG,70,2342,2.814063988
DeAndre' Bembry,ATL,SG,82,1931,2.783440916
Jimmy Butler III,PHI,SG,65,2185,2.769740653
Dario Saric,MIN,PF,81,2010,2.751659052
Kris Dunn,CHI,PG,45,1389,2.698016924
Malcolm Brogdon,MIL,SG,64,1832,2.652121626
Julius Randle,NOP,PF,73,2232,2.643765158
Dennis Smith Jr.,NYK,PG,53,1508,2.544637834
Thomas Bryant,WAS,C,72,1496,2.497119386
Gary Harris,DEN,SG,57,1639,2.478195361
De'Anthony Melton,PHX,PG,50,984,2.434385556
Luc Mbah a Moute,LAC,PF,4,61,2.347695236
Markieff Morris,OKC,PF,58,1271,2.293852585
Stanley Johnson,NOP,SF,63,1207,2.224812119
Jonah Bolden,PHI,PF,41,639,2.192402056
Taj Gibson,MIN,PF,70,1686,2.159640154
Luka Doncic,DAL,SG,72,2318,2.143106052
Luol Deng,MIN,SF,22,380,2.099249066
