Player,Team,Pos,G,MP,DIS
Mike Muscala,LAL,PF,64,1306,2.094157463
Ekpe Udoh,UTA,C,49,320,2.049386277
Ryan Arcidiacono,CHI,PG,81,1961,2.0367345
Darren Collison,IND,PG,76,2143,2.008109266
Delon Wright,MEM,PG,73,1698,2.005397318
Alex Len,ATL,C,77,1544,2.002860445
Elfrid Payton,NOP,PG,42,1250,1.992972446
DeMarre Carroll,BKN,PF,66,1703,1.945375182
David Nwaba,CLE,SF,50,984,1.90761189
Evan Fournier,ORL,SG,81,2553,1.907462411
Jahlil Okafor,NOP,C,52,935,1.841792263
Salah Mejri,DAL,C,34,399,1.681254925
OG Anunoby,TOR,SF,66,1352,1.680195705
Gary Payton II,WAS,PG,2,16,1.657903892
Cheick Diallo,NOP,PF,61,896,1.651111591
Chandler Hutchison,CHI,SF,42,895,1.645815297
Jamal Murray,DEN,PG,75,2447,1.636819841
Terry Rozier,BOS,PG,79,1791,1.63133113
Mitchell Creek,MIN,SF,3,47,1.628638632
Joe Harris,BKN,SG,76,2293,1.583682168
Tyreke Evans,IND,SG,69,1402,1.581193326
Bradley Beal,WAS,SG,82,3028,1.566741426
Jeremy Lamb,CHA,SG,79,2250,1.552721347
Wesley Matthews,IND,SF,69,2091,1.54849015
Jonas Jerebko,GSW,PF,71,1218,1.534101032
Kelly Oubre Jr.,PHX,SF,69,1923,1.425590465
Tahjere McCall,BKN,SG,1,8,1.399080685
Jemerrio Jones,LAL,SF,6,143,1.375290156
Brandon Ingram,LAL,SF,52,1760,1.324264035
John Henson,CLE,C,14,188,1.260634869
Rondae Hollis-Jefferson,BKN,SF,59,1234,1.247024195
Andre Ingram,LAL,SG,3,15,1.174912497
Vince Carter,ATL,PF,76,1330,1.162548949
Mikal Bridges,PHX,SF,81,2417,1.134682615
Rodney McGruder,LAC,SG,64,1550,1.107193148
Terrance Ferguson,OKC,SG,74,1931,0.814322931
Robin Lopez,CHI,C,74,1606,0.794575529
Ante Zizic,CLE,C,58,1082,0.785305166
Alex Poythress,ATL,PF,21,305,0.762212508
Tobias Harris,PHI,PF,82,2848,0.72441982
T.J. McConnell,PHI,PG,75,1470,0.722209423
Nikola Mirotic,MIL,PF,46,1245,0.694215009
Isaiah Hartenstein,HOU,PF,28,221,0.680781
Corey Brewer,SAC,SF,31,492,0.652276162
Khem Birch,ORL,C,49,643,0.650888349
Kenrich Williams,NOP,SF,43,1079,0.650322072
Kent Bazemore,ATL,SG,67,1643,0.619328867
Wayne Ellington,DET,SG,53,1297,0.583892954
Isaiah Briscoe,ORL,PG,33,559,0.564408388
JR Smith,CLE,SG,11,222,0.560115563
Pau Gasol,MIL,C,29,361,0.538491823
Alex Caruso,LAL,PG,23,531,0.52767354
Frank Ntilikina,NYK,PG,42,904,0.507452143
Fred VanVleet,TOR,PG,64,1760,0.494727683
Deyonta Davis,ATL,C,9,118,0.487839368
Damian Lillard,POR,PG,80,2838,0.403683812
Wesley Johnson,WAS,SF,35,534,0.374835291
Harrison Barnes,SAC,PF,77,2533,0.373693377
Solomon Hill,NOP,SF,43,878,0.268773907
Josh Jackson,PHX,SG,79,1976,0.250677067
Norman Powell,TOR,SG,59,1126,0.24197881
Jordan Bell,GSW,C,66,788,0.201132967
George Hill,MIL,PG,58,1302,0.181629674
Harry Giles III,SAC,PF,56,820,0.16394104
Quincy Acy,PHX,PF,10,123,0.163755669
Julian Washburn,MEM,SF,16,254,0.142723448
Zaza Pachulia,DET,C,67,878,0.100537927
Ron Baker,WAS,SG,12,152,0.079897075
T.J. Leaf,IND,PF,55,522,0.056330879
Bruno Caboclo,MEM,PF,34,800,0.04953645
Troy Caupain,ORL,PG,4,16,-0.00332011
Miles Bridges,CHA,SF,79,1696,-0.056486388
Bismack Biyombo,CHA,C,54,783,-0.088468501
De'Aaron Fox,SAC,PG,81,2546,-0.095849589
Tim Hardaway Jr.,DAL,SG,65,2057,-0.099594535
Daniel Hamilton,ATL,SG,18,204,-0.13911611
John Wall,WAS,PG,32,1104,-0.151703614
Trey Lyles,DEN,PF,63,1120,-0.153659587
Amir Johnson,PHI,C,50,529,-0.226028469
Dante Cunningham,SAS,PF,61,928,-0.281808691
Jaylen Morris,MIL,SG,4,28,-0.296601775
Khyri Thomas,DET,SG,20,195,-0.297586682
Chris Chiozza,HOU,PG,6,33,-0.313740523
Rodney Hood,POR,SG,72,1893,-0.328688499
Bojan Bogdanovic,IND,SF,81,2573,-0.423094292
Tyler Johnson,PHX,PG,57,1529,-0.431978662
Goran Dragic,MIA,PG,36,991,-0.552653057
Jared Terrell,MIN,SG,12,111,-0.691842927
CJ McCollum,POR,SG,70,2375,-0.738347711
Marcus Morris Sr.,BOS,PF,75,2091,-0.774398842
Jake Layman,POR,SF,69,1327,-0.812994603
Angel Delgado,LAC,C,1,15,-0.822157994
Tomas Satoransky,WAS,PG,79,2164,-0.848611949
Tyus Jones,MIN,PG,68,1560,-0.886185083
Terrence Ross,ORL,SG,81,2150,-0.886214288
Pat Connaughton,MIL,SG,60,1261,-0.899352757
Sindarius Thornwell,LAC,SG,45,313,-0.92267616
Jabari Parker,WAS,PF,64,1724,-0.966055908
Seth Curry,POR,SG,74,1399,-0.970956888
Kostas Antetokounmpo,DAL,PF,2,11,-1.002125676
Jeff Teague,MIN,PG,42,1264,-1.035906095
CJ Miles,MEM,SF,52,856,-1.061658237
Jarell Martin,ORL,PF,40,328,-1.076839196
RJ Hunter,BOS,SG,1,26,-1.119127178
Brad Wanamaker,BOS,PG,27,343,-1.174094311
D'Angelo Russell,BKN,PG,81,2448,-1.191909471
Anthony Tolliver,MIN,PF,59,1067,-1.206244276
Jeff Green,WAS,PF,77,2097,-1.213708972
Andrew Wiggins,MIN,SF,73,2543,-1.291586021
Langston Galloway,DET,SG,79,1745,-1.302783864
Dennis Schroder,OKC,PG,79,2314,-1.386060806
Dion Waiters,MIA,SG,44,1138,-1.421764034
Dwight Howard,WAS,C,9,230,-1.425266902
Tristan Thompson,CLE,C,43,1198,-1.491905306
Scott Machado,LAL,PG,3,19,-1.575969534
Deng Adel,CLE,SF,16,194,-1.596581979
Chris Boucher,TOR,PF,27,163,-1.673033695
Mario Hezonja,NYK,SF,57,1206,-1.68470843
Jaron Blossomgame,CLE,SF,27,439,-1.7302002
Caleb Swanigan,SAC,PF,19,178,-1.742836604
Andrew Harrison,NOP,PG,14,186,-1.76270245
Avery Bradley,MEM,SG,63,1905,-1.764164566
Courtney Lee,DAL,SG,31,428,-1.778936955
Mike Scott,PHI,PF,78,1396,-1.844907983
Theo Pinson,BKN,SG,15,211,-1.880463026
Donte DiVincenzo,MIL,SG,26,411,-1.881395011
Jeremy Lin,TOR,PG,74,1436,-1.911958526
Jonathon Simmons,PHI,SF,52,1064,-1.953717435
Demetrius Jackson,PHI,PG,4,39,-1.967157923
Eric Gordon,HOU,SG,68,2158,-2.141351901
Glenn Robinson III,DET,SF,44,610,-2.150712133
Caris LeVert,BKN,SF,40,1063,-2.160789127
Chimezie Metu,SAS,PF,23,145,-2.203453753
Kyle O'Quinn,IND,C,42,371,-2.214828202
Donatas Motiejunas,SAS,PF,3,13,-2.215373509
Aaron Holiday,IND,PG,40,646,-2.253493819
Lauri Markkanen,CHI,PF,52,1682,-2.313487787
Bogdan Bogdanovic,SAC,SG,70,1947,-2.327257931
Enes Freedom,POR,C,67,1640,-2.337540018
Johnathan Williams,LAL,C,23,372,-2.353054775
Malcolm Miller,TOR,SF,9,67,-2.381633794
Devin Harris,DAL,PG,65,1071,-2.407706187
Dusty Hannahs,MEM,SG,2,26,-2.431606919
Shabazz Napier,BKN,PG,54,983,-2.474541417
Allen Crabbe,BKN,SG,42,1133,-2.521255917
Kyle Korver,UTA,SG,69,1334,-2.562826138
Thomas Welsh,DEN,C,7,36,-2.569224341
Yuta Watanabe,MEM,SF,15,174,-2.625645344
Taurean Prince,ATL,SF,55,1552,-2.699781859
Vincent Edwards,HOU,SF,2,16,-2.759200134
Austin Rivers,HOU,SG,75,2028,-2.795241575
Ian Mahinmi,WAS,C,33,498,-2.835841371
Shaun Livingston,GSW,PG,63,967,-2.847605994
Jarred Vanderbilt,DEN,PF,11,69,-2.863095382
Spencer Dinwiddie,BKN,PG,67,1914,-2.968210823
Markelle Fultz,ORL,SG,19,427,-2.974909909
Tony Snell,MIL,SF,73,1304,-2.984009801
Udonis Haslem,MIA,C,10,74,-2.988951218
Justin Jackson,DAL,SF,78,1613,-3.011791363
Patty Mills,SAS,PG,82,1908,-3.036370129
Lorenzo Brown,TOR,PG,20,212,-3.056370141
John Collins,ATL,PF,61,1829,-3.067604307
Kevin Huerter,ATL,SG,75,2048,-3.070145683
Eric Moreland,TOR,PF,5,43,-3.143134524
Ivan Rabb,MEM,PF,46,721,-3.187508757
Patrick McCaw,TOR,SG,27,397,-3.250057884
Jevon Carter,MEM,PG,37,577,-3.27792286
Bryn Forbes,SAS,SG,82,2292,-3.296550415
Meyers Leonard,POR,C,60,878,-3.317587605
Raul Neto,UTA,PG,36,474,-3.325489634
Iman Shumpert,HOU,SG,62,1481,-3.345488733
Semi Ojeleye,BOS,PF,50,594,-3.416880892
Zhaire Smith,PHI,SG,6,111,-3.474986198
Alan Williams,BKN,PF,5,26,-3.48109473
Dillon Brooks,MEM,SF,18,330,-3.488161764
Kenneth Faried,HOU,C,37,728,-3.525018121
Christian Wood,NOP,PF,18,250,-3.541222103
Isaac Bonga,LAL,PG,20,120,-3.552043933
Zach LaVine,CHI,SG,63,2171,-3.559346181
Darius Miller,NOP,SF,69,1758,-3.599286142
Greg Monroe,PHI,C,42,480,-3.642787416
Lance Thomas,NYK,PF,46,783,-3.650116774
Frank Kaminsky,CHA,C,46,755,-3.67949721
Tyler Zeller,MEM,C,6,93,-3.680570029
Jalen Jones,CLE,SF,14,214,-3.68195076
Keita Bates-Diop,MIN,SF,27,503,-3.709053241
Jason Smith,NOP,C,19,191,-3.740593724
Okaro White,WAS,PF,2,6,-3.762165556
Troy Williams,SAC,SF,20,312,-3.822983118
Furkan Korkmaz,PHI,SG,43,679,-3.839267085
Reggie Bullock Jr.,LAL,SG,63,1879,-3.869008594
Kobi Simmons,CLE,PG,1,2,-3.879409525
Trevor Ariza,WAS,SF,69,2349,-3.881447339
Troy Brown Jr.,WAS,SF,43,730,-3.887767471
Guerschon Yabusele,BOS,PF,39,251,-3.893554842
JaKarr Sampson,CHI,SF,4,127,-3.904427107
Dwyane Wade,MIA,SG,72,1885,-3.907318414
Landry Shamet,LAC,SG,79,1802,-3.914431383
DJ Stephens,MEM,SG,1,7,-3.934036954
Derrick Rose,MIN,PG,51,1380,-3.938313913
Quincy Pondexter,SAS,SF,38,292,-3.939753411
Sam Dekker,WAS,PF,46,789,-3.954994961
Wayne Selden,CHI,SG,71,1438,-3.973624196
Jerian Grant,ORL,PG,57,939,-3.99629367
Donte Grantham,OKC,SF,2,2,-3.997146342
Hamidou Diallo,OKC,SG,43,526,-4.008818027
Andrew Bogut,GSW,C,9,134,-4.020161823
Ish Smith,DET,PG,56,1251,-4.102988097
Alfonzo McKinnie,GSW,SF,67,1003,-4.116032335
Patrick Patterson,OKC,PF,61,861,-4.129452987
Isaac Humphries,ATL,C,5,56,-4.142960881
Jalen Brunson,DAL,PG,70,1591,-4.146748666
Ray Spalding,PHX,PF,13,148,-4.164804963
Skal Labissiere,POR,PF,20,176,-4.183686949
James Ennis III,PHI,SF,58,1230,-4.211776366
Anfernee Simons,POR,SG,15,140,-4.213729607
Marquese Chriss,CLE,PF,43,499,-4.276665771
Devin Robinson,WAS,SF,7,95,-4.326761203
Marco Belinelli,SAS,SG,79,1815,-4.330823864
Yante Maten,MIA,PF,2,13,-4.371641032
Bobby Portis,WAS,PF,50,1298,-4.377154274
Jose Calderon,DET,PG,42,632,-4.418899273
Tony Bradley,UTA,C,3,36,-4.427250788
Sterling Brown,MIL,SG,57,1034,-4.455291008
Alex Abrines,OKC,SG,31,588,-4.46387649
Tony Parker,CHA,PG,53,1003,-4.558241111
Frank Mason III,SAC,PG,33,435,-4.605856969
Abdel Nader,OKC,SF,54,694,-4.633703092
Emmanuel Mudiay,NYK,PG,59,1607,-4.695901168
Doug McDermott,IND,SF,76,1340,-4.755780732
Rajon Rondo,LAL,PG,46,1369,-4.80042817
Cedi Osman,CLE,SF,75,2444,-4.826401126
D.J. Augustin,ORL,PG,80,2269,-4.848009527
Jawun Evans,OKC,PG,6,64,-4.857931367
Svi Mykhailiuk,DET,SF,39,440,-4.859797536
Jaylen Adams,ATL,PG,30,428,-4.900865911
MarShon Brooks,MEM,SG,28,387,-4.963640174
Alec Burks,SAC,SG,64,1375,-5.159992853
Billy Garrett,NYK,SG,4,63,-5.166586399
Miles Plumlee,ATL,C,17,173,-5.172426898
Dirk Nowitzki,DAL,PF,51,795,-5.190365081
C.J. Williams,MIN,SG,11,128,-5.200077599
Channing Frye,CLE,C,33,341,-5.258423813
Shelvin Mack,CHA,PG,57,1247,-5.292075104
Damyean Dotson,NYK,SG,72,2004,-5.30971667
Tyrone Wallace,LAC,PG,55,628,-5.357024642
T.J. Warren,PHX,SF,43,1348,-5.45754658
Malik Beasley,DEN,SG,80,1879,-5.463773998
Tyler Cavanaugh,UTA,PF,8,39,-5.493298079
Tim Frazier,MIL,PG,55,1120,-5.515526055
Chandler Parsons,MEM,SF,25,496,-5.517929329
Jimmer Fredette,PHX,SG,5,65,-5.528397252
Gary Clark,HOU,PF,47,641,-5.528797017
Carmelo Anthony,HOU,PF,10,294,-5.565598689
Reggie Jackson,DET,PG,82,2289,-5.570644223
DeVaughn Akoon-Purcell,DEN,SG,4,22,-5.608736964
BJ Johnson,SAC,SF,6,49,-5.707969577
Kadeem Allen,NYK,PG,19,416,-5.733506845
Haywood Highsmith,PHI,SF,5,40,-5.778110429
Jerome Robinson,LAC,SG,24,320,-5.81502183
Ryan Broekhoff,DAL,SG,35,453,-5.818294501
Buddy Hield,SAC,SG,82,2615,-5.824807584
Isaiah Hicks,NYK,PF,3,32,-5.85890984
Jordan McRae,WAS,SG,22,333,-5.875450993
Davon Reed,IND,SG,9,47,-5.876143865
Shake Milton,PHI,SG,17,268,-5.908411371
Brandon Goodwin,DEN,PG,9,57,-5.910347941
JJ Redick,PHI,SG,76,2379,-5.962215837
Ben McLemore,SAC,SG,12,158,-5.989071524
Johnathan Motley,LAC,PF,20,156,-6.000662095
Duncan Robinson,MIA,SF,10,161,-6.041827277
Will Barton,DEN,SF,43,1189,-6.060384037
Wade Baldwin IV,POR,PG,14,94,-6.104700247
Dzanan Musa,BKN,SG,5,39,-6.116794149
Yogi Ferrell,SAC,PG,64,1067,-6.122107423
J.J. Barea,DAL,PG,37,752,-6.126841867
Rawle Alkins,CHI,SG,8,120,-6.184931988
Brandon Sampson,CHI,SG,12,214,-6.228381759
Luke Kennard,DET,SG,62,1437,-6.232100491
Marvin Bagley III,SAC,PF,62,1567,-6.277975597
Drew Eubanks,SAS,PF,20,113,-6.288821613
Isaiah Thomas,DEN,SG,12,181,-6.393603915
Henry Ellenson,NYK,PF,19,259,-6.395782093
Lonnie Walker IV,SAS,SG,14,118,-6.417747505
Willy Hernangomez,CHA,C,58,812,-6.457840122
Kentavious Caldwell-Pope,LAL,SG,81,2035,-6.545817575
Danuel House Jr.,HOU,SF,39,979,-6.617912185
Lance Stephenson,LAL,SG,66,1123,-6.693296446
Trey Burke,DAL,PG,57,1124,-6.768041059
Michael Beasley,LAL,PF,24,277,-6.792918545
Isaiah Canaan,MIL,PG,26,628,-6.824533175
Ryan Anderson,MIA,PF,23,321,-6.837116363
Gary Trent Jr.,POR,SG,8,111,-6.850964986
Ike Anigbogu,IND,C,1,6,-6.91918207
Raymond Felton,OKC,PG,29,379,-6.934152349
Emanuel Terry,MIA,PF,3,23,-7.010978301
Malik Monk,CHA,SG,72,1258,-7.073220616
E'Twaun Moore,NOP,SG,53,1463,-7.095078214
Tyler Lydon,DEN,PF,16,94,-7.119873768
Matthew Dellavedova,CLE,PG,48,812,-7.140576622
Timothe Luwawu-Cabarrot,CHI,SF,42,669,-7.21230638
Nick Young,DEN,SG,2,37,-7.309686113
James Nunnally,HOU,SF,9,102,-7.313013537
Jon Leuer,DET,PF,39,402,-7.345245072
Brandon Knight,CLE,PG,38,737,-7.491520469
Elie Okobo,PHX,PG,51,958,-7.750173692
Jodie Meeks,TOR,SG,8,104,-7.88000009
Georges Niang,UTA,PF,53,516,-7.972951704
Devonte' Graham,CHA,PG,43,676,-8.000209646
Kevin Knox II,NYK,PF,75,2158,-8.042311479
Tyler Dorsey,MEM,SG,41,698,-8.072720863
Justin Anderson,ATL,SF,43,463,-8.116306797
Cameron Payne,CLE,PG,38,712,-8.209413523
George King,PHX,SF,1,6,-8.2271344
Troy Daniels,PHX,SG,47,760,-8.305509241
Walt Lemon Jr.,CHI,PG,6,167,-8.319395158
Nik Stauskas,CLE,SG,67,1015,-8.474578187
Dwayne Bacon,CHA,SG,38,759,-8.522696172
Justin Patton,PHI,C,2,21,-8.612609158
Jordan Clarkson,CLE,SG,81,2214,-8.638267711
Dairis Bertans,NOP,SG,12,167,-8.679379007
Edmond Sumner,IND,PG,17,210,-8.72575305
Jordan Loyd,TOR,PG,7,55,-8.750649695
Michael Carter-Williams,ORL,PG,25,372,-8.818273152
John Jenkins,NYK,SG,26,333,-8.895108627
Bonzie Colson,MIL,SF,4,98,-8.930110852
Gerald Green,HOU,SG,72,1473,-9.085366848
Cristiano Felicio,CHI,C,59,746,-9.117486234
Frank Jackson,NOP,PG,59,1169,-9.294449537
PJ Dozier,BOS,SG,3,51,-9.458931864
Alize Johnson,IND,PF,12,64,-9.493812081
Trevon Duval,HOU,PG,1,6,-9.830791728
Damion Lee,GSW,SG,27,375,-9.86284999
Melvin Frazier Jr.,ORL,SG,9,44,-9.934960399
Cam Reynolds,MIN,SG,15,259,-10.06628684
Marcus Derrickson,GSW,PF,11,67,-10.07928486
Trae Young,ATL,PG,81,2503,-10.32889152
Chasson Randle,WAS,PG,49,743,-10.71668392
Jerryd Bayless,MIN,PG,33,657,-10.73618481
Amile Jefferson,ORL,PF,11,68,-10.80998777
Milos Teodosic,LAC,PG,15,150,-10.89655003
Malachi Richardson,TOR,SG,13,103,-10.94084541
Daryl Macon,DAL,SG,5,90,-11.14811679
Lou Williams,LAC,SG,75,1993,-11.39943639
Naz Mitrou-Long,UTA,SG,12,84,-11.45249061
Devin Booker,PHX,SG,64,2230,-11.81556705
Ian Clark,NOP,SG,55,973,-11.87885041
Allonzo Trier,NYK,SG,64,1458,-11.9076275
Grayson Allen,UTA,SG,33,416,-12.64648052
Quinn Cook,GSW,PG,61,1059,-13.26468819
Collin Sexton,CLE,PG,82,2605,-14.49035412
Antonio Blakeney,CHI,SG,50,829,-15.31945427
Jamal Crawford,PHX,SG,59,1199,-15.95758399
Jacob Evans,GSW,SG,19,204,-16.11763638
