Player,Team,Pos,G,MP,DIS
Spencer Dinwiddie,BKN,SG,79,2725,0.653815046
De'Aaron Fox,SAC,PG,73,2435,0.630640901
Keegan Murray,SAC,SF,80,2382,0.626472907
Buddy Hield,IND,SF,80,2482,0.596396792
DeAndre Jordan,DEN,C,38,586,0.479002079
Karl-Anthony Towns,MIN,PF,29,957,0.469047192
D'Angelo Russell,LAL,PG,70,2304,0.454158616
Aaron Holiday,ATL,PG,51,845,0.442903017
Wesley Matthews,MIL,SF,48,820,0.305063609
Saben Lee,PHX,PG,20,374,0.29606039
Christian Braun,DEN,SG,64,1181,0.21424585
Eugene Omoruyi,DET,SF,39,645,0.19345761
Greg Brown III,POR,PF,8,93,0.170269165
Alize Johnson,SAS,PF,4,30,0.165266699
Brandon Ingram,NOP,SF,45,1538,0.070579311
Jonathan Isaac,ORL,PF,11,124,0.046659459
Reggie Jackson,DEN,PG,67,1657,-0.006939758
Stephen Curry,GSW,PG,56,1941,-0.026044377
Klay Thompson,GSW,SF,69,2279,-0.033628741
Jabari Smith Jr.,HOU,PF,79,2451,-0.038561567
Rudy Gay,UTA,PF,54,816,-0.052541881
Xavier Sneed,CHA,SF,3,48,-0.18817167
Malcolm Brogdon,BOS,PG,67,1744,-0.22763467
Terance Mann,LAC,SG,81,1872,-0.237455897
Juan Toscano-Anderson,UTA,SF,46,700,-0.243845192
Landry Shamet,PHX,SG,40,807,-0.36687288
Nick Richards,CHA,C,65,1218,-0.40755615
Frank Ntilikina,DAL,SG,41,607,-0.438465025
Julius Randle,NYK,PF,77,2737,-0.474912946
Orlando Robinson,MIA,C,30,425,-0.478523551
Chimezie Metu,SAC,PF,61,689,-0.510793471
Jeremy Sochan,SAS,PF,56,1458,-0.54802141
Talen Horton-Tucker,UTA,SG,61,1313,-0.640268928
Naji Marshall,NOP,SF,77,1792,-0.646822753
Trey Lyles,SAC,PF,71,1247,-0.703010092
Montrezl Harrell,PHI,C,56,681,-0.780570546
Facundo Campazzo,DAL,PG,5,52,-0.920235329
Dominick Barlow,SAS,PF,28,408,-0.937185123
Trendon Watford,POR,PF,59,1182,-0.947775228
Max Christie,LAL,SG,34,512,-0.969990492
Taurean Prince,MIN,PF,54,1192,-0.996559745
Stanley Johnson,SAS,SF,28,469,-1.013594909
Gorgui Dieng,SAS,C,29,358,-1.016174099
Chris Silva,DAL,PF,1,3,-1.033374955
Dalano Banton,TOR,PG,27,279,-1.044050613
Garrison Mathews,ATL,SG,46,686,-1.094879449
Josh Giddey,OKC,PF,76,2367,-1.142424492
Richaun Holmes,SAC,C,36,348,-1.150956626
Kevon Harris,ORL,SG,31,457,-1.177743783
Trent Forrest,ATL,SG,18,277,-1.181295846
Marvin Bagley III,DET,C,42,990,-1.184325698
Cole Anthony,ORL,PG,60,1552,-1.187143716
Luka Samanic,UTA,PF,7,161,-1.283404788
Dalen Terry,CHI,SG,23,214,-1.318417613
Marko Simonovic,CHI,C,2,20,-1.385207454
David Roddy,MEM,PF,67,1258,-1.441781527
Ochai Agbaji,UTA,SG,54,1209,-1.47434895
Gary Trent Jr.,TOR,SG,66,2118,-1.517869697
Troy Brown Jr.,LAL,SF,75,1860,-1.527465221
Ron Harper Jr.,TOR,PF,5,48,-1.53012833
Noah Vonleh,BOS,C,18,172,-1.580898167
Dario Saric,OKC,C,51,806,-1.632896362
Jalen Smith,IND,C,67,1279,-1.640454755
Max Strus,MIA,SF,79,2272,-1.708498527
Sterling Brown,LAL,SF,3,24,-1.773509397
Vince Williams Jr.,MEM,SG,10,105,-1.789445027
Day'Ron Sharpe,BKN,C,43,553,-1.847018977
Terry Taylor,CHI,PF,22,263,-1.849852666
Joe Harris,BKN,SF,73,1527,-1.918907241
Kevin Huerter,SAC,SG,75,2203,-1.942810216
Ryan Arcidiacono,POR,PG,8,172,-1.965424438
Zeke Nnaji,DEN,PF,51,728,-2.034937364
Jordan Poole,GSW,PG,81,2458,-2.071531832
Precious Achiuwa,TOR,C,55,1140,-2.149598201
Shaquille Harrison,LAL,SG,5,120,-2.152055747
Dru Smith,BKN,SG,12,158,-2.21300491
Josh Green,DAL,SG,59,1539,-2.215465189
Frank Kaminsky,HOU,C,29,235,-2.217364465
Carlik Jones,CHI,PG,3,56,-2.228178432
Robin Lopez,CLE,C,35,299,-2.33094294
Jalen Brunson,NYK,PG,68,2379,-2.347226373
Willy Hernangomez,NOP,C,36,458,-2.387810292
Matthew Dellavedova,SAC,PG,18,213,-2.45357206
Trevelin Queen,IND,SG,5,70,-2.576854674
Khris Middleton,MIL,SF,32,801,-2.578583674
Josh Richardson,NOP,SG,65,1530,-2.615644715
Nathan Knight,MIN,C,31,291,-2.633179743
Markieff Morris,DAL,PF,33,355,-2.655536198
Moussa Diabate,LAC,C,19,195,-2.673462464
Chuma Okeke,ORL,SF,26,518,-2.688893802
JT Thor,CHA,PF,65,969,-2.694042896
Jamal Murray,DEN,PG,65,2133,-2.737789054
Trey Murphy III,NOP,SF,79,2448,-2.758932565
Damion Lee,PHX,SG,68,1506,-2.784338208
Cam Reddish,POR,SF,40,990,-2.820819947
Rodney McGruder,DET,SG,28,524,-2.828174238
Micah Potter,UTA,PF,7,52,-2.85710474
Ricky Rubio,CLE,PG,32,566,-2.874265074
Kevin Knox II,POR,SF,57,952,-2.882542435
Joe Ingles,MIL,SF,45,1044,-2.902825602
Devin Booker,PHX,SG,52,1835,-2.925968958
Coby White,CHI,SG,73,1730,-2.986696739
Moses Moody,GSW,SG,59,817,-2.991032223
CJ McCollum,NOP,PG,75,2649,-2.995992822
Yuta Watanabe,BKN,SF,54,928,-3.006940599
Daishen Nix,HOU,PG,50,914,-3.008040642
Aaron Wiggins,OKC,SG,69,1297,-3.038888191
John Butler Jr.,POR,C,16,221,-3.067287403
Jeremiah Robinson-Earl,OKC,PF,42,814,-3.068480168
Josh Minott,MIN,SF,9,96,-3.092631956
Boban Marjanovic,HOU,C,27,171,-3.130407055
Leandro Bolmaro,UTA,SF,9,68,-3.131004766
Andre Iguodala,GSW,PF,8,113,-3.141177899
Jared Rhoden,DET,SG,11,198,-3.161790826
Lindy Waters III,OKC,SG,37,531,-3.180783731
Danuel House Jr.,PHI,SF,50,807,-3.221611592
Tyrese Maxey,PHI,SG,59,2016,-3.273310473
Georges Niang,PHI,PF,77,1512,-3.288965449
Jae Crowder,MIL,PF,18,340,-3.2942241
Romeo Langford,SAS,SG,40,844,-3.323395975
Khem Birch,SAS,C,19,162,-3.344927717
Reggie Bullock Jr.,DAL,SF,78,2364,-3.371448663
Kelly Oubre Jr.,CHA,SF,47,1548,-3.413362697
Tyrese Haliburton,IND,PG,56,1883,-3.419812208
Oshae Brissett,IND,PF,61,1083,-3.435077681
Admiral Schofield,ORL,PF,34,451,-3.447553883
Louis King,PHI,PF,1,29,-3.476413521
JD Davison,BOS,SG,5,66,-3.481875184
TyTy Washington Jr.,HOU,PG,26,433,-3.481896551
Anthony Gill,WAS,PF,47,625,-3.520780117
Luke Kennard,MEM,SG,59,1315,-3.521304676
JaVale McGee,DAL,C,42,355,-3.551532204
Sam Merrill,CLE,SG,2,59,-3.568561146
Isaiah Roby,NYK,PF,38,474,-3.580374898
T.J. Warren,PHX,PF,39,687,-3.591519623
Alec Burks,DET,SG,51,1122,-3.709680007
Quenton Jackson,WAS,PG,5,135,-3.720619604
Thomas Bryant,DEN,C,57,1081,-3.721555454
Ziaire Williams,MEM,SF,36,561,-3.751368836
Darius Days,HOU,SF,2,25,-3.760443587
Kevin Porter Jr.,HOU,PG,59,2024,-3.774995824
Danny Green,CLE,SG,10,139,-3.802135411
Olivier Sarr,OKC,C,7,114,-3.806302337
Devonte' Graham,SAS,PG,65,1338,-3.885264687
Ousmane Dieng,OKC,PF,38,569,-3.901053052
Scotty Pippen Jr.,LAL,PG,4,32,-3.910992715
Justin Minaya,POR,SF,4,89,-3.924092555
PJ Dozier,SAC,SF,7,79,-3.951577212
Eric Gordon,LAC,SG,65,1965,-3.966788896
Jordan Hall,SAS,SF,7,83,-3.981663001
Raul Neto,CLE,PG,40,505,-4.037389699
Jamal Cain,MIA,PF,16,240,-4.127840581
Mfiondu Kabengele,BOS,PF,4,36,-4.20175744
Serge Ibaka,MIL,C,16,185,-4.217418007
Jeff Green,DEN,PF,56,1091,-4.274833694
Terence Davis,SAC,SG,59,841,-4.300705799
Neemias Queta,SAC,C,5,29,-4.301324047
Daniel Theis,IND,C,7,109,-4.414319368
Jabari Walker,POR,SF,50,619,-4.443743588
Justin Jackson,BOS,SF,14,107,-4.491784751
Cameron Payne,PHX,PG,45,968,-4.493504091
Caleb Houstan,ORL,SF,46,812,-4.529309781
Nikola Jovic,MIA,PF,12,204,-4.533430416
Bogdan Bogdanovic,ATL,SG,54,1508,-4.604696889
Jarrett Culver,ATL,SF,7,137,-4.606323916
Jay Scrubb,ORL,SG,1,30,-4.630797083
Devon Dotson,WAS,PG,6,53,-4.642506644
Jordan McLaughlin,MIN,PG,43,678,-4.661352322
Jake LaRavia,MEM,PF,26,414,-4.66194496
Obi Toppin,NYK,PF,64,1050,-4.665744274
Kendall Brown,IND,SG,4,40,-4.700049701
Jack White,DEN,SF,8,66,-4.705283228
Justin Champagnie,BOS,SF,2,34,-4.716537359
Michael Porter Jr.,DEN,SF,62,1798,-4.737902951
Payton Pritchard,BOS,PG,40,643,-4.753379953
Theo Maledon,CHA,PG,44,854,-4.813204811
Nassir Little,POR,SF,52,976,-4.870162558
Ryan Rollins,GSW,PG,7,62,-4.91543653
Tre Mann,OKC,PG,60,1183,-4.967309784
Gary Payton II,GSW,SG,22,368,-4.993240772
Devin Vassell,SAS,SG,38,1178,-4.994752232
KJ Martin,HOU,SF,80,2292,-5.119283508
Chima Moneke,SAC,SF,1,8,-5.171162232
Isaiah Mobley,CLE,PF,10,84,-5.1740716
James Bouknight,CHA,SG,30,515,-5.237991997
Brandon Boston,LAC,SF,17,248,-5.263606071
Saddiq Bey,ATL,SF,76,2129,-5.320746049
Anfernee Simons,POR,SG,62,2171,-5.356133713
Chris Duarte,IND,SF,45,897,-5.398291821
David Duke Jr.,BKN,SG,16,228,-5.480157909
Bojan Bogdanovic,DET,PF,59,1893,-5.493012744
Bryce McGowens,CHA,SG,37,787,-5.562187609
Trevor Hudgins,HOU,PG,2,28,-5.588803706
Xavier Cooks,WAS,PF,9,126,-5.628427667
John Wall,LAC,PG,32,755,-5.670336357
Garrett Temple,NOP,SG,18,162,-5.692255476
Mamadi Diakite,CLE,C,20,176,-5.698046524
McKinley Wright IV,DAL,PG,23,335,-5.702463975
Derrick Rose,NYK,PG,25,338,-5.703933834
Jason Preston,LAC,PG,9,124,-5.737878302
Gabe York,IND,SG,3,56,-5.774420849
Malik Monk,SAC,SG,76,1719,-5.820148447
AJ Griffin,ATL,SF,67,1401,-5.881301146
MarJon Beauchamp,MIL,SF,43,700,-5.884273286
Evan Fournier,NYK,SG,24,459,-5.927199591
Davon Reed,LAL,SG,32,342,-5.934906045
Peyton Watson,DEN,SG,16,186,-5.952279445
Ty Jerome,GSW,SG,39,816,-5.980866446
Sandro Mamukelashvili,SAS,C,38,661,-6.110967539
Cody Martin,CHA,SF,6,134,-6.120096479
James Johnson,IND,PF,15,162,-6.124870119
Skylar Mays,POR,PG,6,189,-6.127204117
Malik Beasley,LAL,SG,79,2093,-6.13315682
Collin Sexton,UTA,PG,47,1145,-6.178683964
Norman Powell,LAC,SG,60,1567,-6.188724276
Thaddeus Young,TOR,PF,52,795,-6.233409229
Braxton Key,DET,SF,2,9,-6.262830096
Joshua Primo,SAS,SG,4,93,-6.303858772
Omer Yurtseven,MIA,C,9,83,-6.320951544
Austin Rivers,MIN,SG,43,1016,-6.349637623
Svi Mykhailiuk,CHA,SF,24,468,-6.375462173
Lonnie Walker IV,LAL,SG,52,1297,-6.383858399
Kemba Walker,DAL,PG,7,144,-6.391207832
Cody Zeller,MIA,C,15,217,-6.410116182
Jay Huff,WAS,C,7,95,-6.452009123
Mac McClung,PHI,SG,2,41,-6.465637002
Keldon Johnson,SAS,SF,62,2063,-6.5199339
Lester Quinones,GSW,SG,3,18,-6.551893352
James Wiseman,DET,C,44,867,-6.580098887
Justin Holiday,DAL,SF,43,706,-6.590666677
Davis Bertans,DAL,PF,41,492,-6.602960915
Shake Milton,PHI,SG,71,1567,-6.621531535
Edmond Sumner,BKN,SG,42,736,-6.651851131
Seth Curry,BKN,SG,59,1211,-6.660368521
Keon Ellis,SAC,SG,7,71,-6.669459885
Kobi Simmons,CHA,SG,5,28,-6.670656743
Malachi Flynn,TOR,PG,44,691,-6.727606699
Patrick Baldwin Jr.,GSW,SF,20,226,-6.756978148
Blake Wesley,SAS,SG,33,669,-6.867451247
Amir Coffey,LAC,SF,37,625,-6.889533063
Bennedict Mathurin,IND,SG,77,2222,-6.913589914
Jeff Dowtin Jr.,TOR,PG,16,259,-7.034774507
Duncan Robinson,MIA,SF,37,690,-7.052622429
Jalen Green,HOU,SG,76,2602,-7.099262819
Cole Swider,LAL,SF,3,41,-7.133371905
Thanasis Antetokounmpo,MIL,PF,22,206,-7.181183233
Otto Porter Jr.,TOR,SF,8,146,-7.20799484
Jordan Clarkson,UTA,SG,59,1988,-7.242757164
Jared Butler,OKC,PG,4,77,-7.267695352
Terrence Ross,PHX,SG,61,1330,-7.284573605
Juancho Hernangomez,TOR,PF,39,614,-7.311940229
Meyers Leonard,MIL,C,9,114,-7.322288947
JaMychal Green,GSW,PF,57,797,-7.384282422
Isaiah Todd,WAS,PF,4,61,-7.490243824
Jacob Gilyard,MEM,PG,1,41,-7.497006006
Wendell Moore Jr.,MIN,SG,14,153,-7.502770731
Luka Garza,MIN,C,23,243,-7.555049192
Corey Kispert,WAS,SF,73,2093,-7.570797065
Goran Dragic,MIL,PG,54,870,-7.713754109
Furkan Korkmaz,PHI,SG,24,353,-7.755694343
Dereon Seabron,NOP,SG,2,12,-7.776236566
Vlatko Cancar,DEN,PF,49,889,-7.788929018
Lindell Wigginton,MIL,PG,2,87,-7.840436547
Bones Hyland,LAC,PG,55,1086,-7.877531301
Cam Thomas,BKN,SG,48,948,-7.889692363
Cory Joseph,DET,PG,58,1227,-7.898914941
R.J. Hampton,DET,SG,44,750,-7.935205458
Udonis Haslem,MIA,C,7,72,-7.954721979
Xavier Moon,LAC,SG,1,20,-7.986291062
Tyler Dorsey,DAL,SF,1,8,-8.00800011
RaiQuan Gray,BKN,PF,1,35,-8.03903036
Tyus Jones,MEM,PG,79,1940,-8.092223272
Matt Ryan,MIN,SF,25,310,-8.112736713
Kira Lewis Jr.,NOP,PG,19,235,-8.136102637
LaMelo Ball,CHA,PG,36,1268,-8.181168002
Keon Johnson,POR,SG,28,416,-8.335694288
Johnny Juzang,UTA,SG,17,232,-8.344478591
Julian Champagnie,SAS,SF,16,320,-8.507206429
Nate Williams,POR,SG,5,127,-8.55336878
Josh Christopher,HOU,SG,54,786,-8.56587227
Jaden Ivey,DET,SG,74,2304,-8.618480323
Tyrese Martin,ATL,SG,7,66,-8.763508707
Kenneth Lofton Jr.,MEM,PF,17,176,-8.813813371
Jordan Nwora,IND,SF,57,1188,-8.846432068
Kennedy Chandler,MEM,PG,20,281,-8.855952523
Jaden Springer,PHI,SG,11,89,-8.899262104
Shaedon Sharpe,POR,SG,80,1779,-9.050624267
Ish Smith,DEN,PG,26,398,-9.080253098
Jamaree Bouyea,WAS,PG,5,71,-9.158442897
Theo Pinson,DAL,SG,27,323,-9.275206194
Terry Rozier,CHA,SG,62,2221,-9.351236805
Will Barton,TOR,SG,49,993,-9.390175112
A.J. Lawson,DAL,SG,8,108,-9.404409955
Trae Young,ATL,PG,72,2541,-9.471955634
Duane Washington Jr.,NYK,SG,25,394,-9.495932162
Dylan Windler,CLE,SF,2,10,-9.703261305
Malaki Branham,SAS,SG,65,1550,-9.843592211
Simone Fontecchio,UTA,SF,46,766,-9.96723732
Buddy Boeheim,DET,SF,6,90,-10.40261986
Jaden Hardy,DAL,SG,39,708,-10.92786912
Damian Lillard,POR,PG,55,2107,-10.95581187
AJ Green,MIL,SG,23,345,-11.55549497
Jaylen Nowell,MIN,SG,59,1252,-11.78034783
Tony Bradley,CHI,C,11,33,-11.99400915
Kendrick Nunn,WAS,SG,60,963,-12.08461564
Bryn Forbes,MIN,SG,19,268,-12.6724518
