Player,Team,Pos,G,MP,DIS
Draymond Green,GSW,PF,73,2297,28.28624501
Brook Lopez,MIL,C,78,2373,26.41617189
Nic Claxton,BKN,C,76,2271,22.02216079
Alex Caruso,CHI,PG,67,1575,20.11702898
Evan Mobley,CLE,PF,79,2715,19.92048389
Jaren Jackson Jr.,MEM,C,63,1787,19.64494739
Ivica Zubac,LAC,C,76,2170,19.33718272
Anthony Davis,LAL,C,55,1905,19.16507661
Herbert Jones,NOP,PF,66,1951,17.66351414
Mitchell Robinson,NYK,C,59,1589,16.93229849
OG Anunoby,TOR,SF,67,2386,16.5593413
Jarrett Allen,CLE,C,68,2220,16.41345603
Rudy Gobert,MIN,C,70,2148,16.24716029
Kristaps Porzingis,WAS,C,65,2120,15.85380681
Joel Embiid,PHI,C,66,2284,15.04100154
Derrick White,BOS,SG,81,2319,14.97023844
Walker Kessler,UTA,C,74,1703,14.53508448
Isaiah Hartenstein,NYK,C,82,1628,14.23810229
Bismack Biyombo,PHX,C,60,874,14.21002718
Nikola Jokic,DEN,C,69,2323,14.19660628
Jakob Poeltl,TOR,C,72,1906,13.72262651
Bam Adebayo,MIA,C,75,2598,13.47953401
Kevon Looney,GSW,C,82,1958,12.93474131
Giannis Antetokounmpo,MIL,PF,63,2024,12.86278356
Jaden McDaniels,MIN,SF,79,2416,12.43744468
Myles Turner,IND,C,62,1825,12.32137933
Al Horford,BOS,C,63,1921,12.0118658
Jimmy Butler III,MIA,PF,64,2138,11.47578204
Deandre Ayton,PHX,C,67,2036,11.36569713
Steven Adams,MEM,C,42,1133,11.09169207
Dillon Brooks,MEM,SF,73,2214,10.85185985
Xavier Tillman,MEM,C,60,1180,10.69809089
Dwight Powell,DAL,C,76,1458,10.54087566
Torrey Craig,PHX,PF,78,1948,10.26132543
Jrue Holiday,MIL,PG,66,2183,10.24093924
Shai Gilgeous-Alexander,OKC,PG,68,2416,10.16404489
Larry Nance Jr.,NOP,C,65,1381,10.11173553
Onyeka Okongwu,ATL,C,80,1849,9.94887852
Paul George,LAC,SF,56,1939,9.53612475
Kawhi Leonard,LAC,SF,52,1748,9.244825844
Udoka Azubuike,UTA,C,31,359,9.153358018
Jusuf Nurkic,POR,C,52,1391,9.082713958
Nikola Vucevic,CHI,C,82,2746,9.041128453
Daniel Gafford,WAS,C,78,1604,9.017874272
Kevin Durant,PHX,PF,47,1672,8.95220592
Clint Capela,ATL,C,65,1730,8.952158642
Charles Bassey,SAS,C,33,508,8.854506853
Jaylin Williams,OKC,C,49,914,8.655436663
Kyle Anderson,MIN,PF,69,1957,8.560164765
Alperen Sengun,HOU,C,75,2171,8.545121534
Matisse Thybulle,POR,SG,64,1200,8.313524952
Domantas Sabonis,SAC,C,79,2736,8.293978101
P.J. Tucker,PHI,PF,74,1920,8.207636708
Andre Drummond,CHI,C,67,849,8.121245471
Robert Williams III,BOS,C,35,824,8.011100975
Mikal Bridges,BKN,SG,82,2963,7.762232774
John Konchar,MEM,SF,71,1494,7.748973303
Lamar Stevens,CLE,SF,59,1120,7.391366109
Ben Simmons,BKN,PG,42,1105,7.372687836
Dennis Smith Jr.,CHA,PG,54,1390,7.365043044
Marcus Smart,BOS,PG,61,1957,7.355968566
Jevon Carter,MIL,PG,80,1812,7.288013964
Luguentz Dort,OKC,SF,74,2272,7.27924506
Patrick Williams,CHI,PF,82,2323,7.273524846
Kevin Love,MIA,PF,60,1240,7.178340667
Deni Avdija,WAS,SF,76,2020,7.168308334
Dorian Finney-Smith,BKN,PF,66,2009,7.108597828
Wenyen Gabriel,LAL,C,67,1024,7.023263515
Patrick Beverley,CHI,SG,67,1817,7.009689557
Christian Koloko,TOR,C,57,802,6.995139846
Javonte Green,CHI,SF,32,480,6.960791949
P.J. Washington,CHA,PF,73,2380,6.885580429
Aaron Gordon,DEN,PF,68,2055,6.842145962
Josh Okogie,PHX,SG,68,1350,6.649552407
Chance Comanche,POR,C,1,21,6.63375666
Scottie Barnes,TOR,SF,77,2678,6.557306706
Jock Landale,PHX,C,68,979,6.552830484
Grant Williams,BOS,PF,79,2045,6.507115065
Jose Alvarado,NOP,PG,59,1310,6.4880643
Caleb Martin,MIA,SF,71,2078,6.327631803
Drew Eubanks,POR,C,77,1584,6.321583085
Fred VanVleet,TOR,PG,69,2535,6.317382241
Mikal Bridges,BKN,SG,82,2963,6.264330013
Damian Jones,UTA,C,37,477,6.123378391
Dyson Daniels,NOP,PG,58,1042,6.063255131
Isaac Okoro,CLE,SF,74,1652,6.025369035
Jayson Tatum,BOS,SF,74,2732,6.01456596
Derrick Jones Jr.,CHI,PF,62,893,5.980916152
Mark Williams,CHA,C,41,828,5.976990357
Mason Plumlee,LAC,C,79,2053,5.957734153
Franz Wagner,ORL,SF,80,2609,5.944858894
Josh Hart,NYK,SF,76,2454,5.866993459
Jaylen Brown,BOS,SF,67,2405,5.865904049
LeBron James,LAL,PF,55,1954,5.848580035
Royce O'Neale,BKN,SF,76,2409,5.839098067
Bruce Brown,DEN,SF,80,2280,5.790065844
Bruno Fernando,ATL,C,38,405,5.745680185
Anthony Lamb,GSW,SF,62,1195,5.629904617
Pascal Siakam,TOR,PF,71,2652,5.597507628
Isaiah Jackson,IND,C,62,1042,5.591213805
Harrison Barnes,SAC,PF,82,2662,5.541580387
Desmond Bane,MEM,SG,58,1842,5.52359471
Kelly Olynyk,UTA,C,68,1942,5.481264466
Caris LeVert,CLE,SG,74,2237,5.478878111
Tobias Harris,PHI,SF,74,2436,5.455665373
Wendell Carter Jr.,ORL,C,57,1690,5.400560118
Paolo Banchero,ORL,PF,72,2430,5.379798608
De'Anthony Melton,PHI,SG,77,2150,5.32908399
John Collins,ATL,PF,71,2130,5.305141684
Hamidou Diallo,DET,SF,56,996,5.301563748
Gabe Vincent,MIA,PG,67,1759,5.2826215
Bol Bol,ORL,PF,70,1505,5.276555436
Haywood Highsmith,MIA,PF,48,969,5.264605115
Ayo Dosunmu,CHI,SG,80,2098,5.231795104
Jonas Valanciunas,NOP,C,79,1968,5.225652044
Gordon Hayward,CHA,SF,50,1577,5.173771613
T.J. McConnell,IND,PG,74,1526,5.143197411
DeMar DeRozan,CHI,SF,74,2682,5.141863355
Jalen Suggs,ORL,SG,53,1246,5.130847489
Kyle Kuzma,WAS,PF,63,2239,5.07323241
Blake Griffin,BOS,C,40,569,5.069754966
Delon Wright,WAS,PG,50,1221,5.003598253
Zach Collins,SAS,C,63,1441,4.843667248
Jae'Sean Tate,HOU,SF,31,678,4.842681726
Anthony Edwards,MIN,SG,79,2842,4.824833604
Kenrich Williams,OKC,PF,53,1206,4.720015104
Nicolas Batum,LAC,PF,77,1709,4.699058029
Quentin Grimes,NYK,SG,68,2121,4.68826019
Santi Aldama,MEM,PF,77,1682,4.60636638
Kyle Lowry,MIA,PG,54,1718,4.571910091
Chris Paul,PHX,PG,59,1889,4.549912526
Naz Reid,MIN,C,67,1251,4.49731556
Chris Boucher,TOR,PF,76,1523,4.454604727
Jericho Sims,NYK,C,51,812,4.437981414
Kentavious Caldwell-Pope,DEN,SG,75,2381,4.419235365
Jalen Duren,DET,C,67,1670,4.416783682
Lauri Markkanen,UTA,PF,66,2273,4.410312924
Victor Oladipo,MIA,SG,42,1106,4.409542936
Goga Bitadze,ORL,C,37,457,4.357017724
Pat Connaughton,MIL,SF,59,1443,4.287901948
Robert Covington,LAC,PF,45,779,4.270585639
Isaiah Stewart,DET,C,50,1414,4.140496274
Dewayne Dedmon,PHI,C,37,426,4.029673399
Andrew Wiggins,GSW,SF,37,1190,4.02182818
Tari Eason,HOU,PF,82,1767,4.006089999
Dean Wade,CLE,PF,43,891,3.982031865
Brandon Clarke,MEM,PF,55,1090,3.944095268
Jalen McDaniels,PHI,SF,80,1913,3.903437308
Darius Bazley,PHX,C,42,616,3.90090897
Ja Morant,MEM,PG,61,1948,3.888104995
Jarred Vanderbilt,LAL,PF,78,1880,3.797408339
Jonathan Kuminga,GSW,PF,67,1394,3.692044302
Paul Reed,PHI,C,67,755,3.684392351
Gary Harris,ORL,SG,48,1184,3.681671786
Nerlens Noel,BKN,C,16,195,3.663701412
Vernon Carey Jr.,UTA,C,11,28,3.630590327
Jalen Johnson,ATL,SF,66,1042,3.615705498
Luke Kornet,BOS,C,66,804,3.507792097
Jordan Goodwin,WAS,PG,56,1105,3.445900431
James Harden,PHI,PG,58,2135,3.441217963
Rui Hachimura,LAL,PF,63,1466,3.307424253
Russell Westbrook,LAC,PG,73,2126,3.301372956
Alex Len,SAC,C,23,161,3.187475363
Markelle Fultz,ORL,PG,60,1778,2.999283593
Austin Reaves,LAL,SG,64,1843,2.844254179
Zion Williamson,NOP,PF,29,956,2.839490914
Cade Cunningham,DET,PG,12,400,2.83907393
Keita Bates-Diop,SAS,PF,64,1452,2.828543238
Mo Bamba,LAL,C,47,768,2.812105027
Dejounte Murray,ATL,SG,72,2693,2.764107872
Usman Garuba,HOU,C,74,970,2.675765783
Ish Wainright,PHX,SF,53,915,2.541020709
George Hill,IND,SG,45,833,2.500813223
Dennis Schroder,LAL,PG,66,1986,2.469169812
Zach LaVine,CHI,SG,77,2768,2.468837488
Davion Mitchell,SAC,PG,77,1447,2.440314403
Jaxson Hayes,NOP,C,41,610,2.407623015
Donovan Mitchell,CLE,SG,68,2432,2.345811616
Immanuel Quickley,NYK,SG,81,2344,2.343008929
Marcus Morris Sr.,LAC,PF,65,1825,2.31469226
Nickeil Alexander-Walker,MIN,SG,55,884,2.297610314
Kai Jones,CHA,C,40,550,2.292593668
Joe Wieskamp,TOR,SF,7,50,2.187271882
Luka Doncic,DAL,PG,65,2391,2.17583717
Darius Garland,CLE,PG,69,2447,2.144290797
Stanley Umude,DET,SG,1,2,2.134119117
Donte DiVincenzo,GSW,SG,72,1894,2.131586011
Malcolm Hill,CHI,SF,2,9,2.108156724
Aleksej Pokusevski,OKC,PF,34,701,2.061761159
Andrew Nembhard,IND,SG,75,2074,2.047387038
Moses Brown,BKN,C,34,294,2.046056322
De'Andre Hunter,ATL,SF,65,2126,1.993655874
Tyler Herro,MIA,SG,67,2336,1.991211261
Kyrie Irving,DAL,SG,60,2240,1.98468815
Bradley Beal,WAS,SG,49,1673,1.933236287
Mike Muscala,BOS,C,61,945,1.898281578
Tim Hardaway Jr.,DAL,SF,71,2152,1.888978906
Kessler Edwards,SAC,SF,30,386,1.798921074
Bobby Portis,MIL,PF,69,1819,1.688286078
Isaiah Livers,DET,PF,52,1199,1.545518859
Cedi Osman,CLE,SF,68,1548,1.542281792
Maxi Kleber,DAL,PF,37,930,1.52908949
Aaron Nesmith,IND,SF,73,1816,1.492625864
Mike Conley,MIN,PG,67,2028,1.423826976
Kris Dunn,UTA,PG,22,568,1.358596111
Grayson Allen,MIL,SG,72,1972,1.304490331
Miles McBride,NYK,PG,58,760,1.292412819
Tre Jones,SAS,PG,68,1984,1.212871534
Jarrell Brantley,UTA,PF,3,39,1.203226265
Cameron Johnson,BKN,PF,42,1200,1.14987835
Christian Wood,DAL,C,67,1738,1.14357215
Jalen Williams,OKC,SG,75,2276,1.057196835
RJ Barrett,NYK,SG,72,2475,1.041024051
Taj Gibson,WAS,C,45,480,0.89267411
Isaiah Joe,OKC,SG,69,1395,0.876090352
Justise Winslow,POR,PF,29,776,0.791620877
Jerami Grant,POR,PF,63,2246,0.767454279
Killian Hayes,DET,PG,76,2154,0.724654333
Sam Hauser,BOS,SF,73,1290,0.71279634
KZ Okpala,SAC,PF,26,248,0.702202104
