Player,Team,Pos,G,MP,DIS,,,
Alec Burks,UTA,SG,60,1059,-7.109262141,,,
Tim Quarterman,HOU,SG,2,13,-7.150412351,,,
Markelle Fultz,PHI,SG,14,253,-7.183561183,,,
Darrell Arthur,DEN,PF,17,141,-7.20274491,,,
Milton Doyle,BKN,SG,8,125,-7.276653776,,,
Aaron Brooks,MIN,PG,19,189,-7.290292054,,,
Nick Young,GSW,SG,80,1393,-7.302384808,,,
Anthony Brown,MIN,SF,1,4,-7.339829185,,,
Meyers Leonard,POR,C,32,254,-7.413086708,,,
Milos Teodosic,LAC,PG,45,1134,-7.481471824,,,
Devin Booker,PHX,SG,54,1865,-7.502382722,,,
Ben Moore,IND,PF,2,9,-7.509157663,,,
Chris McCullough,WAS,PF,14,90,-7.587179705,,,
Matthew Dellavedova,MIL,PG,38,712,-7.639700924,,,
Sean Kilpatrick,CHI,SG,45,640,-7.641922653,,,
Quinn Cook,GSW,PG,29,740,-7.828139035,,,
Lou Williams,LAC,SG,78,2589,-7.853669415,,,
Rodney Hood,CLE,SG,60,1615,-7.872987062,,,
Ante Zizic,CLE,C,28,214,-7.900335945,,,
Jodie Meeks,WAS,SG,75,1119,-8.159888958,,,
Georges Niang,UTA,PF,7,32,-8.21705109,,,
Mangok Mathiang,CHA,C,4,20,-8.278506879,,,
Gerald Green,HOU,SG,39,929,-8.430907926,,,
Jabari Parker,MIL,PF,31,743,-8.432793053,,,
D.J. Wilson,MIL,PF,14,71,-8.460977516,,,
Gordon Hayward,BOS,SF,1,5,-8.515169717,,,
Xavier Munford,MIL,SG,3,21,-8.549326527,,,
Briante Weber,MEM,PG,15,237,-8.596565161,,,
Derrick Walton Jr.,MIA,PG,14,147,-8.616022422,,,
Markel Brown,HOU,SG,4,31,-8.623041609,,,
Marcus Georges-Hunt,MIN,SG,26,224,-8.658324096,,,
Jeremy Lin,BKN,PG,1,25,-8.886502061,,,
Shabazz Muhammad,MIL,SG,36,418,-8.912316718,,,
Darrun Hilliard,SAS,SG,9,95,-8.947606393,,,
J.J. Barea,DAL,PG,68,1603,-9.044979806,,,
Brandon Jennings,MIL,PG,13,205,-9.219926278,,,
Emmanuel Mudiay,NYK,PG,59,1244,-9.227027572,,,
T.J. Leaf,IND,PF,53,459,-9.279544574,,,
Rashad Vaughn,ORL,SG,18,212,-9.307499122,,,
Joffrey Lauvergne,SAS,C,48,534,-9.88254518,,,
Jalen Jones,DAL,SF,13,181,-9.965274289,,,
Cole Aldrich,MIN,C,18,49,-10.06386543,,,
Derrick Rose,MIN,PG,23,419,-10.28744139,,,
D'Angelo Russell,BKN,PG,48,1234,-10.341027,,,
Trey Burke,NYK,PG,33,785,-10.45810976,,,
Johnathan Motley,DAL,PF,10,176,-10.55859318,,,
Jordan Crawford,NOP,SG,3,53,-10.66395014,,,
Wayne Selden,MEM,SG,35,691,-10.74312521,,,
John Holland,CLE,SF,18,174,-10.97365789,,,
Troy Daniels,PHX,SG,78,1622,-11.23198159,,,
Jaylen Morris,ATL,SG,6,98,-11.4170965,,,
Bobby Brown,HOU,PG,10,115,-11.61735707,,,
Jacob Pullen,PHI,PG,2,6,-12.90932594,,,
Kobi Simmons,MEM,PG,30,643,-13.29107546,,,
Malik Monk,CHA,SG,51,853,-13.6560081,,,
Isaiah Thomas,LAL,PG,32,862,-14.16919851,,,
Ike Anigbogu,IND,C,8,30,-14.20636807,,,
Jamal Crawford,MIN,SG,73,1653,-16.85033409,,,
