Player,Team,Pos,G,MP,DIS,,,
Sindarius Thornwell,LAC,SG,66,1156,5.186345942,,,
Paul George,OKC,SF,79,2891,5.179800008,,,
Brandon Ingram,LAL,SF,59,1975,5.03628512,,,
Russell Westbrook,OKC,PG,80,2914,5.023395586,,,
Markieff Morris,WAS,PF,73,1968,5.006855778,,,
Marvin Williams,CHA,PF,78,2006,4.984825966,,,
Serge Ibaka,TOR,PF,76,2093,4.835703812,,,
Kevin Durant,GSW,SF,68,2325,4.816261966,,,
Carmelo Anthony,OKC,PF,78,2501,4.772083263,,,
CJ McCollum,POR,SG,81,2923,4.745684901,,,
Jonathan Isaac,ORL,PF,27,535,4.687035403,,,
Maxi Kleber,DAL,PF,68,1206,4.550523743,,,
Fred VanVleet,TOR,PG,75,1520,4.499102761,,,
James Harden,HOU,SG,72,2551,4.459343358,,,
Gorgui Dieng,MIN,C,79,1333,4.45619512,,,
Domantas Sabonis,IND,C,74,1810,4.426442293,,,
Taurean Prince,ATL,SF,82,2464,4.424430816,,,
Thabo Sefolosha,UTA,SF,38,806,4.418406005,,,
Nikola Mirotic,NOP,PF,55,1494,4.230141363,,,
Khris Middleton,MIL,SF,82,2982,4.203221351,,,
Ivica Zubac,LAL,C,41,410,4.178551275,,,
Gary Harris,DEN,SG,67,2304,4.132133229,,,
Cody Zeller,CHA,C,33,627,4.046407816,,,
Brandan Wright,HOU,PF,28,381,4.020648777,,,
Maurice Harkless,POR,SF,57,1264,4.017415758,,,
Jarell Martin,MEM,PF,72,1661,3.939799506,,,
Rudy Gay,SAS,PF,57,1231,3.886861573,,,
Derrick Williams,LAL,PF,1,9,3.828324386,,,
Michael Kidd-Gilchrist,CHA,SF,74,1850,3.814768659,,,
Chris Paul,HOU,PG,58,1847,3.809660663,,,
Udonis Haslem,MIA,C,13,72,3.742803161,,,
Boban Marjanovic,LAC,C,37,338,3.741362021,,,
Richaun Holmes,PHI,C,48,746,3.673876945,,,
Allen Crabbe,BKN,SG,75,2192,3.656705114,,,
Shaquille Harrison,PHX,PG,21,384,3.539112088,,,
Mario Chalmers,MEM,PG,66,1421,3.511555072,,,
Zaza Pachulia,GSW,C,69,972,3.467639143,,,
Ian Mahinmi,WAS,C,77,1145,3.456861002,,,
Joakim Noah,NYK,C,6,40,3.423669345,,,
Manu Ginobili,SAS,SG,63,1299,3.419578092,,,
Patrick Patterson,OKC,PF,82,1270,3.410988052,,,
OG Anunoby,TOR,SF,74,1482,3.382195872,,,
Corey Brewer,OKC,SG,70,1208,3.33847758,,,
Tobias Harris,LAC,PF,80,2668,3.228339192,,,
Wilson Chandler,DEN,SF,74,2346,3.204729636,,,
Scotty Hopson,DAL,SG,1,8,3.142032083,,,
Andrew Harrison,MEM,PG,56,1326,3.096459119,,,
Dario Saric,PHI,PF,77,2310,3.057705469,,,
Bismack Biyombo,ORL,C,82,1495,3.045736938,,,
Robin Lopez,CHI,C,64,1690,2.969661434,,,
Greg Monroe,BOS,C,51,1041,2.965729198,,,
Eric Bledsoe,MIL,PG,73,2322,2.937686898,,,
Mike Muscala,ATL,C,52,1060,2.866194119,,,
James Ennis III,DET,SF,72,1604,2.85975358,,,
Trevor Booker,IND,PF,68,1158,2.73408728,,,
Damian Lillard,POR,PG,73,2670,2.674142215,,,
Michael Carter-Williams,CHA,PG,52,835,2.671045116,,,
Tyler Zeller,MIL,C,65,1113,2.662341365,,,
Jeff Withey,DAL,C,10,39,2.598354423,,,
Kyle Kuzma,LAL,PF,77,2401,2.53155766,,,
Kent Bazemore,ATL,SG,65,1789,2.518255678,,,
Nemanja Bjelica,MIN,PF,67,1371,2.498575439,,,
Josh Huestis,OKC,PF,64,981,2.490494491,,,
Andrew Wiggins,MIN,SF,82,2979,2.458111159,,,
Spencer Dinwiddie,BKN,PG,80,2306,2.443815042,,,
Tomas Satoransky,WAS,SG,71,1643,2.369925438,,,
Trey Lyles,DEN,PF,73,1391,2.367717272,,,
Tarik Black,HOU,C,50,536,2.342296472,,,
Ish Smith,DET,PG,82,2043,2.315834815,,,
Zach Collins,POR,C,64,1046,2.244586224,,,
Evan Turner,POR,SF,79,2034,2.224489316,,,
Alex Caruso,LAL,PG,35,562,2.143822557,,,
George Hill,CLE,PG,67,1812,2.123109438,,,
Skal Labissiere,SAC,PF,60,1240,2.085009034,,,
Enes Freedom,NYK,C,71,1830,1.886195439,,,
Thon Maker,MIL,C,73,1238,1.831953502,,,
Trevor Ariza,HOU,SF,66,2269,1.761183451,,,
Willie Reed,DET,C,40,428,1.727958429,,,
Gian Clavell,DAL,SG,7,64,1.725282778,,,
Josh Magette,ATL,PG,15,216,1.716712509,,,
Khem Birch,ORL,C,39,578,1.679537398,,,
Dwyane Wade,MIA,SG,67,1536,1.67144457,,,
DeMar DeRozan,TOR,SG,80,2712,1.636836201,,,
Cameron Payne,CHI,PG,25,582,1.605507788,,,
Omri Casspi,GSW,SF,52,742,1.54256272,,,
Timofey Mozgov,BKN,C,31,359,1.534630778,,,
Travis Wear,LAL,SF,17,228,1.408043777,,,
Noah Vonleh,CHI,PF,54,876,1.338065198,,,
Pat Connaughton,POR,SG,82,1488,1.299532506,,,
Denzel Valentine,CHI,SG,77,2095,1.217917881,,,
T.J. Warren,PHX,SF,65,2142,1.182804006,,,
Wesley Matthews,DAL,SF,63,2131,1.179990406,,,
John Wall,WAS,PG,41,1410,1.15907406,,,
Josh Hart,LAL,SG,62,1460,1.153729459,,,
Tim Hardaway Jr.,NYK,SG,57,1885,1.152483105,,,
JaMychal Green,MEM,PF,55,1542,1.148476497,,,
Cory Joseph,IND,PG,82,2210,1.055921036,,,
Corey Brewer,OKC,SG,70,1208,1.049273823,,,
Joel Bolomboy,MIL,PF,6,38,1.035803844,,,
RJ Hunter,HOU,SG,4,45,0.964499466,,,
Jae Crowder,UTA,SF,80,2090,0.920880362,,,
Klay Thompson,GSW,SG,73,2504,0.903800752,,,
Ryan Anderson,HOU,PF,66,1725,0.887392637,,,
Goran Dragic,MIA,PG,75,2378,0.884889366,,,
Damion Lee,ATL,SG,15,404,0.880345512,,,
Garrett Temple,SAC,SG,65,1615,0.850867686,,,
Willy Hernangomez,CHA,C,47,494,0.842030734,,,
Jeff Green,CLE,PF,78,1828,0.792630373,,,
Rondae Hollis-Jefferson,BKN,SF,68,1921,0.754537571,,,
Kris Dunn,CHI,PG,52,1525,0.706637304,,,
Antonius Cleveland,ATL,SG,13,122,0.505287302,,,
Tyler Johnson,MIA,PG,72,2052,0.427550459,,,
Vince Carter,SAC,SF,58,1026,0.423351025,,,
Avery Bradley,LAC,SG,46,1433,0.409996546,,,
Terry Rozier,BOS,PG,80,2068,0.403907651,,,
Treveon Graham,CHA,SG,61,1049,0.389320307,,,
Yogi Ferrell,DAL,SG,81,2281,0.384544699,,,
Kevin Love,CLE,C,58,1651,0.338555988,,,
Mario Hezonja,ORL,SF,75,1657,0.3006422,,,
Jacob Wiley,BKN,PF,4,33,0.24228193,,,
Dante Cunningham,BKN,SF,73,1562,0.141605339,,,
Damyean Dotson,NYK,SG,36,474,0.078024193,,,
Kentavious Caldwell-Pope,LAL,SG,73,2458,0.004553769,,,
Jordan Mickey,MIA,PF,22,284,-0.031118041,,,
Kawhi Leonard,SAS,SF,9,210,-0.031789445,,,
Marreese Speights,ORL,C,48,675,-0.035829596,,,
Luis Montero,DET,SG,1,8,-0.087700682,,,
Tim Frazier,WAS,PG,55,838,-0.097331726,,,
Frank Ntilikina,NYK,PG,78,1706,-0.131148016,,,
Alan Williams,PHX,PF,5,70,-0.137955103,,,
Mike Conley,MEM,PG,12,373,-0.149714117,,,
Semi Ojeleye,BOS,PF,71,1150,-0.193188372,,,
Tyreke Evans,MEM,PG,52,1607,-0.295813527,,,
Shabazz Napier,POR,PG,72,1535,-0.317342258,,,
Dwayne Bacon,CHA,SG,47,713,-0.327566977,,,
Terrence Ross,ORL,SG,24,600,-0.36816689,,,
Vander Blue,LAL,SG,3,45,-0.386464609,,,
Channing Frye,LAL,C,52,695,-0.414780283,,,
Reggie Bullock Jr.,DET,SF,61,1732,-0.451933398,,,
Jared Dudley,PHX,PF,48,686,-0.464040152,,,
Jawun Evans,LAC,PG,47,778,-0.495263222,,,
Mike Scott,WAS,PF,76,1406,-0.508967958,,,
Bogdan Bogdanovic,SAC,SG,78,2175,-0.539601029,,,
James Young,PHI,SG,5,61,-0.553605436,,,
Wes Iwundu,ORL,SF,57,1020,-0.555406169,,,
Doug McDermott,DAL,SF,79,1768,-0.55605841,,,
Jonas Jerebko,UTA,PF,74,1134,-0.597306391,,,
Patrick Beverley,LAC,SG,11,334,-0.600286332,,,
Dennis Smith Jr.,DAL,PG,69,2049,-0.646426813,,,
JJ Redick,PHI,SG,70,2116,-0.684589494,,,
Tyler Lydon,DEN,PF,1,2,-0.689544231,,,
Brandon Paul,SAS,SG,44,576,-0.718419225,,,
Luke Kornet,NYK,C,20,326,-0.79286892,,,
Jeremy Lamb,CHA,SG,80,1967,-0.831490543,,,
E'Twaun Moore,NOP,SG,82,2586,-0.846308382,,,
Larry Drew II,NOP,PG,9,70,-0.86126579,,,
Jeff Teague,MIN,PG,70,2311,-0.897296488,,,
Jerian Grant,CHI,PG,73,1686,-0.926234512,,,
Buddy Hield,SAC,SG,80,2024,-0.927759154,,,
Tyus Jones,MIN,PG,82,1467,-0.929585612,,,
Elfrid Payton,PHX,PG,63,1809,-0.930614581,,,
Dillon Brooks,MEM,SF,82,2350,-0.961570311,,,
Bradley Beal,WAS,SG,82,2977,-0.971634536,,,
Darren Collison,IND,PG,69,2018,-0.981793513,,,
Tyler Ennis,LAL,PG,50,683,-0.995250766,,,
Andrew Bogut,LAL,C,23,216,-1.044850378,,,
Joe Johnson,HOU,SF,55,1205,-1.07393389,,,
Vincent Hunter,MEM,PF,3,7,-1.120818247,,,
Tristan Thompson,CLE,C,53,1072,-1.127133989,,,
Sam Dekker,LAC,PF,71,883,-1.262216932,,,
Danuel House Jr.,PHX,SG,22,403,-1.289702983,,,
Lauri Markkanen,CHI,PF,68,2020,-1.321641151,,,
Danilo Gallinari,LAC,SF,21,671,-1.335082061,,,
Patty Mills,SAS,PG,82,2107,-1.376156457,,,
Eric Gordon,HOU,SG,69,2154,-1.435899406,,,
Okaro White,CLE,PF,5,80,-1.448985062,,,
Derrick Jones Jr.,MIA,SF,17,245,-1.542117112,,,
Myke Henry,MEM,SF,20,378,-1.550421953,,,
Malcolm Delaney,ATL,PG,52,1014,-1.591406091,,,
DeAndre' Bembry,ATL,SF,26,455,-1.608268841,,,
Joe Harris,BKN,SG,78,1975,-1.626257681,,,
Ron Baker,NYK,SG,28,385,-1.656576589,,,
Caleb Swanigan,POR,PF,26,189,-1.748643901,,,
Cheick Diallo,NOP,PF,50,581,-1.807772657,,,
DeAndre Liggins,NOP,SG,49,723,-1.866656045,,,
Justin Anderson,PHI,SF,35,519,-1.871650753,,,
Devin Harris,DEN,PG,69,1340,-1.899579917,,,
Kelly Oubre Jr.,WAS,SF,81,2231,-1.964058044,,,
C.J. Williams,LAC,SG,36,706,-1.99764021,,,
Juancho Hernangomez,DEN,PF,22,277,-2.057491248,,,
Cedi Osman,CLE,SF,50,672,-2.059230598,,,
Malcolm Brogdon,MIL,PG,48,1436,-2.065555857,,,
Damien Wilkins,IND,SF,12,152,-2.091336171,,,
Caris LeVert,BKN,SF,71,1864,-2.128136781,,,
Jason Smith,WAS,C,31,285,-2.169586406,,,
Langston Galloway,DET,SG,56,863,-2.202989895,,,
Chinanu Onuaku,HOU,C,1,22,-2.2081647,,,
Frank Kaminsky,CHA,PF,78,1835,-2.212621598,,,
Torrey Craig,DEN,SF,39,629,-2.377951537,,,
Kyle Collinsworth,DAL,SF,29,480,-2.379279339,,,
James Webb III,BKN,SF,9,120,-2.486357702,,,
Luke Babbitt,MIA,SF,47,715,-2.487088,,,
Julyan Stone,CHA,SG,14,175,-2.502591041,,,
Tyrone Wallace,LAC,PG,29,851,-2.551071168,,,
Matt Williams Jr.,MIA,SG,1,11,-2.602899917,,,
Derrick White,SAS,PG,12,139,-2.644327609,,,
Lance Stephenson,IND,SG,81,1850,-2.702252031,,,
Tony Snell,MIL,SG,75,2053,-2.720497862,,,
Austin Rivers,LAC,SG,61,2057,-2.788507954,,,
Nicolas Batum,CHA,SG,64,1981,-2.79362476,,,
Raymond Felton,OKC,PG,82,1365,-2.798910841,,,
Nicolas Brussino,ATL,SF,1,10,-2.81973391,,,
Marcus Paige,CHA,PG,5,28,-2.859026451,,,
Aaron Harrison,DAL,SG,9,233,-2.896574462,,,
Dorian Finney-Smith,DAL,PF,21,448,-2.918172647,,,
Zach LaVine,CHI,SG,24,656,-2.959683602,,,
Troy Williams,NYK,SF,18,307,-3.008693795,,,
Omari Johnson,MEM,PF,4,75,-3.02409479,,,
Isaiah Canaan,PHX,SG,20,422,-3.042327012,,,
Jameer Nelson,DET,PG,48,1013,-3.055556046,,,
Norman Powell,TOR,SG,64,1061,-3.103824808,,,
Jarrett Jack,NYK,PG,62,1548,-3.14733885,,,
Bruno Caboclo,SAC,SF,10,106,-3.157769375,,,
CJ Miles,TOR,SF,70,1336,-3.173608918,,,
Shane Larkin,BOS,PG,50,775,-3.177968597,,,
Georgios Papagiannis,POR,C,16,122,-3.230627501,,,
Bobby Portis,CHI,PF,73,1642,-3.255310507,,,
Jamil Wilson,LAC,SF,14,274,-3.27135483,,,
Bojan Bogdanovic,IND,SF,80,2464,-3.289135554,,,
Will Barton,DEN,SG,81,2683,-3.306442379,,,
Ryan Arcidiacono,CHI,PG,23,304,-3.363737372,,,
Jamal Murray,DEN,PG,81,2565,-3.376649542,,,
Aaron Jackson,HOU,PG,1,34,-3.40641206,,,
Mike James,NOP,PG,34,686,-3.46880732,,,
Rodney McGruder,MIA,SG,16,299,-3.497554553,,,
Erik McCree,UTA,SF,1,8,-3.507100933,,,
Reggie Hearn,DET,SG,2,7,-3.53628958,,,
Wade Baldwin IV,POR,PG,4,80,-3.53741077,,,
Courtney Lee,NYK,SG,76,2310,-3.575393987,,,
Deyonta Davis,MEM,C,62,943,-3.584110832,,,
Stephen Curry,GSW,PG,51,1631,-3.595130016,,,
Jack Cooley,SAC,PF,7,87,-3.612522963,,,
Tony Parker,SAS,PG,55,1071,-3.630671219,,,
Marquis Teague,MEM,PG,3,74,-3.677881562,,,
Kyle Korver,CLE,SG,73,1574,-3.751448733,,,
Jerryd Bayless,PHI,SG,39,925,-3.756103446,,,
Bryn Forbes,SAS,SG,74,1517,-3.758475095,,,
Nate Wolters,UTA,PG,4,19,-3.774391004,,,
Paul Zipser,CHI,SF,52,824,-3.787920405,,,
Jeremy Evans,ATL,SF,1,5,-3.808407572,,,
Jahlil Okafor,BKN,C,28,353,-3.841955409,,,
Jonathan Gibson,BOS,PG,3,40,-3.860784492,,,
Demetrius Jackson,PHI,PG,10,80,-3.869131226,,,
Xavier Rathan-Mayes,MEM,SG,5,118,-3.930087664,,,
Reggie Jackson,DET,PG,45,1201,-3.932087411,,,
Jason Terry,MIL,SG,49,814,-3.954744224,,,
Damian Jones,GSW,C,13,89,-3.960215276,,,
Cristiano Felicio,CHI,C,54,977,-3.991982738,,,
Isaiah Taylor,ATL,PG,65,1167,-3.99426,,,
Ian Clark,NOP,SG,71,1454,-3.996201578,,,
Jarell Eddie,CHI,SF,2,9,-4.003430961,,,
David Nwaba,CHI,SG,70,1646,-4.016303194,,,
Al Jefferson,IND,C,36,484,-4.018533697,,,
Raul Neto,UTA,PG,40,498,-4.037303228,,,
Isaiah Hicks,NYK,PF,18,239,-4.056172695,,,
Emeka Okafor,NOP,C,25,353,-4.099309966,,,
Justin Jackson,SAC,SF,68,1506,-4.139793807,,,
Rajon Rondo,NOP,PG,64,1705,-4.157101615,,,
Timothe Luwawu-Cabarrot,PHI,SF,50,807,-4.168132013,,,
Shaun Livingston,GSW,PG,71,1129,-4.173293473,,,
Davon Reed,PHX,SG,21,242,-4.176539322,,,
Andre Ingram,LAL,SG,2,64,-4.190977238,,,
Iman Shumpert,SAC,SG,14,276,-4.197482986,,,
Quincy Pondexter,CHI,SF,19,196,-4.201495957,,,
De'Aaron Fox,SAC,PG,72,2026,-4.218451918,,,
Marcus Morris Sr.,BOS,PF,54,1442,-4.258048977,,,
PJ Dozier,OKC,PG,1,3,-4.285483192,,,
Frank Mason III,SAC,PG,50,984,-4.324348221,,,
